Accession Number,EC,Species,Label,Enzyme,Reaction ID,Substrates,Products,Km,Kcat,Inhibitors,Ki
WP_000591795.1,2.7.1.11,,R11,6-phosphofructokinase,R03236,C00002; C01097,C00008; C03785,Km_C00008: 0.068868771; Km_C03785: 0.123040177; Km_C00002: 0.073803619; Km_C01097: 0.206363901,Kcat_F: 108.48623761; Kcat_R: 68.69468206549999,,
WP_000591795.1,2.7.1.11,,R12,6-phosphofructokinase,R03237,C00063; C01097,C00112; C03785,Km_C00112: 0.0586504; Km_C03785: 0.123040177; Km_C00063: 11.0; Km_C01097: 0.206363901,Kcat_F: 119.74570566; Kcat_R: 83.0863661655,,
WP_000591795.1,2.7.1.11,,R13,6-phosphofructokinase,R03238,C00075; C01097,C00015; C03785,Km_C00015: 0.147311985; Km_C03785: 0.123040177; Km_C00075: 5.1; Km_C01097: 0.206363901,Kcat_F: 98.758683515; Kcat_R: 56.9284049655,,
WP_000591795.1,2.7.1.11,,R14,6-phosphofructokinase,R03239,C00081; C01097,C00104; C03785,Km_C00104: 0.077306546; Km_C03785: 0.123040177; Km_C00081: 2.2; Km_C01097: 0.206363901,Kcat_F: 96.827870805; Kcat_R: 55.868415515500004,,
WP_000853753.1,3.1.3.11,,R15,Fructose-bisphosphatase,R00762,C00001; C00354,C00009; C00085,Km_C00009: 0.320538223; Km_C00085: 0.137154579; Km_C00001: 0.495092779; Km_C00354: 1.0,Kcat_F: 1.4600096685; Kcat_R: 0.289105657,,
WP_000853753.1,3.1.3.11,,R16,Fructose-bisphosphatase,R04780,C00001; C05378,C00009; C05345,Km_C00009: 0.320538223; Km_C05345: 0.137154579; Km_C00001: 0.495092779; Km_C05378: 0.1,Kcat_F: 2.5345918115; Kcat_R: 0.289105657,,
WP_000853753.1,3.1.3.11,,R17,Fructose-bisphosphatase,R01845,C00001; C00447,C00009; C05382,Km_C00009: 0.320538223; Km_C05382: 0.01538996; Km_C00001: 0.495092779; Km_C00447: 0.011786909,Kcat_F: 1.8592338759999998; Kcat_R: 0.5713370975,,
WP_000034372.1,4.1.2.13,,R18,Fructose-bisphosphate aldolase,R01068,C00354,C00111; C00118,Km_C00111: 0.219039723; Km_C00118: 0.376360387; Km_C00354: 0.18,Kcat_F: 6.242500000000001; Kcat_R: 3.7595076315,,
WP_000034372.1,4.1.2.13,,R19,Fructose-bisphosphate aldolase,R01070,C05378,C00111; C00118,Km_C00111: 0.219039723; Km_C00118: 0.376360387; Km_C05378: 0.103718825,Kcat_F: 0.439722953; Kcat_R: 3.7595076315,,
WP_000034372.1,4.1.2.13,,R20,Fructose-bisphosphate aldolase,R01829,C00447,C00111; C00279,Km_C00111: 0.219039723; Km_C00279: 0.159231856; Km_C00447: 0.078385606,Kcat_F: 2.649514207; Kcat_R: 2.9558872515,,
WP_000034372.1,4.1.2.13,,R21,Fructose-bisphosphate aldolase,R02568,C01094,C00111; C00577,Km_C00111: 0.219039723; Km_C00577: 1.749873877; Km_C01094: 0.699701726,Kcat_F: 0.462073109; Kcat_R: 3.55576296,,
WP_001216325.1,5.3.1.1,,R22,Triose-phosphate isomerase,R01015,C00118,C00111,Km_C00111: 0.518174112; Km_C00118: 0.976029575,Kcat_F: 1022.557862; Kcat_R: 166.9168823,,
WP_000111269.1,2.7.2.3,,R23,Phosphoglycerate kinase,R01512,C00002; C00197,C00008; C00236,Km_C00008: 0.098627448; Km_C00236: 0.186507493; Km_C00002: 0.099012464; Km_C00197: 0.717952311,Kcat_F: 46.065375720000006; Kcat_R: 21.028835975,,
WP_000036723.1,4.2.1.11,,R24,Phosphopyruvate hydratase,R00658,C00631,C00001; C00074,Km_C00001: 5.651566505; Km_C00074: 0.453958184; Km_C00631: 0.84220314,Kcat_F: 9.247853892; Kcat_R: 7.796041840500001,,
WP_000036723.1,4.2.1.11,,R25,Phosphopyruvate hydratase,R04206,C03356,C00001; C04309,Km_C00001: 5.651566505; Km_C04309: 0.453891814; Km_C03356: 0.439569116,Kcat_F: 4.081638296; Kcat_R: 4.0397496175,,
WP_000069410.1,2.7.9.2,,R26,"Pyruvate, water dikinase",R00199,C00001; C00002; C00022,C00009; C00020; C00074,Km_C00009: 1.4596771; Km_C00020: 0.023508446; Km_C00074: 0.141774222; Km_C00001: 0.2813887; Km_C00002: 0.021786314; Km_C00022: 0.083,Kcat_F: 4.470776205666667; Kcat_R: 4.215818079333333,,
WP_001295403.1,2.7.1.40,,R27,Pyruvate kinase,R00200,C00002; C00022,C00008; C00074,Km_C00008: 0.051032659; Km_C00074: 0.144000247; Km_C00002: 0.044206705; Km_C00022: 0.87643075,Kcat_F: 10.6279720875; Kcat_R: 7.9375634995,,
WP_001295403.1,2.7.1.40,,R28,Pyruvate kinase,R00430,C00022; C00044,C00035; C00074,Km_C00035: 0.031300213; Km_C00074: 0.144000247; Km_C00022: 0.87643075; Km_C00044: 0.055115532,Kcat_F: 6.149742624; Kcat_R: 3.753631475,,
WP_001295403.1,2.7.1.40,,R29,Pyruvate kinase,R00572,C00022; C00063,C00074; C00112,Km_C00074: 0.144000247; Km_C00112: 0.036078647; Km_C00022: 0.87643075; Km_C00063: 0.066866696,Kcat_F: 8.4072842075; Kcat_R: 9.3889003745,,
WP_001295403.1,2.7.1.40,,R30,Pyruvate kinase,R00659,C00022; C00075,C00015; C00074,Km_C00015: 0.152999684; Km_C00074: 0.144000247; Km_C00022: 0.87643075; Km_C00075: 0.223727554,Kcat_F: 6.6693660065; Kcat_R: 5.188231512,,
WP_001295403.1,2.7.1.40,,R31,Pyruvate kinase,R00724,C00022; C00081,C00074; C00104,Km_C00074: 0.144000247; Km_C00104: 0.055906694; Km_C00022: 0.87643075; Km_C00081: 0.071252503,Kcat_F: 8.4022360785; Kcat_R: 8.0710157245,,
WP_001295403.1,2.7.1.40,,R32,Pyruvate kinase,R01138,C00022; C00131,C00074; C00206,Km_C00074: 0.144000247; Km_C00206: 0.018646972; Km_C00022: 0.87643075; Km_C00131: 0.016942503,Kcat_F: 6.3872338345; Kcat_R: 4.48425701,,
WP_001295403.1,2.7.1.40,,R33,Pyruvate kinase,R01858,C00022; C00286,C00074; C00361,Km_C00074: 0.144000247; Km_C00361: 0.019646076; Km_C00022: 0.87643075; Km_C00286: 0.020049427,Kcat_F: 5.8438467575; Kcat_R: 2.8184920695000004,,
WP_001295403.1,2.7.1.40,,R34,Pyruvate kinase,R02320,C00022; C00201,C00074; C00454,Km_C00074: 0.144000247; Km_C00454: nan; Km_C00022: 0.87643075; Km_C00201: nan,Kcat_F: 11.49611796; Kcat_R: 5.425748579,,
WP_000091148.1,2.7.1.40,,R35,Pyruvate kinase,R00200,C00002; C00022,C00008; C00074,Km_C00008: 0.051032659; Km_C00074: 0.144000247; Km_C00002: 0.044206705; Km_C00022: 0.87643075,Kcat_F: 10.6279720875; Kcat_R: 7.9375634995,,
WP_000091148.1,2.7.1.40,,R36,Pyruvate kinase,R00430,C00022; C00044,C00035; C00074,Km_C00035: 0.031300213; Km_C00074: 0.144000247; Km_C00022: 0.87643075; Km_C00044: 0.055115532,Kcat_F: 6.149742624; Kcat_R: 3.753631475,,
WP_000091148.1,2.7.1.40,,R37,Pyruvate kinase,R00572,C00022; C00063,C00074; C00112,Km_C00074: 0.144000247; Km_C00112: 0.036078647; Km_C00022: 0.87643075; Km_C00063: 0.066866696,Kcat_F: 8.4072842075; Kcat_R: 9.3889003745,,
WP_000091148.1,2.7.1.40,,R38,Pyruvate kinase,R00659,C00022; C00075,C00015; C00074,Km_C00015: 0.152999684; Km_C00074: 0.144000247; Km_C00022: 0.87643075; Km_C00075: 0.223727554,Kcat_F: 6.6693660065; Kcat_R: 5.188231512,,
WP_000091148.1,2.7.1.40,,R39,Pyruvate kinase,R00724,C00022; C00081,C00074; C00104,Km_C00074: 0.144000247; Km_C00104: 0.055906694; Km_C00022: 0.87643075; Km_C00081: 0.071252503,Kcat_F: 8.4022360785; Kcat_R: 8.0710157245,,
WP_000091148.1,2.7.1.40,,R40,Pyruvate kinase,R01138,C00022; C00131,C00074; C00206,Km_C00074: 0.144000247; Km_C00206: 0.018646972; Km_C00022: 0.87643075; Km_C00131: 0.016942503,Kcat_F: 6.3872338345; Kcat_R: 4.48425701,,
WP_000091148.1,2.7.1.40,,R41,Pyruvate kinase,R01858,C00022; C00286,C00074; C00361,Km_C00074: 0.144000247; Km_C00361: 0.019646076; Km_C00022: 0.87643075; Km_C00286: 0.020049427,Kcat_F: 5.8438467575; Kcat_R: 2.8184920695000004,,
WP_000091148.1,2.7.1.40,,R42,Pyruvate kinase,R02320,C00022; C00201,C00074; C00454,Km_C00074: 0.144000247; Km_C00454: nan; Km_C00022: 0.87643075; Km_C00201: nan,Kcat_F: 11.49611796; Kcat_R: 5.425748579,,
WP_000003829.1,1.2.4.1,,R43,Pyruvate dehydrogenase (acetyl-transferring),R01699,C00022; C15972,C00011; C16255,Km_C00011: 0.413209707; Km_C16255: 0.302165031; Km_C00022: 0.38795; Km_C15972: 0.014058916,Kcat_F: 21.3131172045; Kcat_R: 3.5914396455000004,,
WP_000003829.1,1.2.4.1,,R44,Pyruvate dehydrogenase (acetyl-transferring),R00014,C00022; C00068,C00011; C05125,Km_C00011: 0.413209707; Km_C05125: 0.008422038; Km_C00022: 0.38795; Km_C00068: 0.00158,Kcat_F: 20.805219947999998; Kcat_R: 3.9121252725,,
WP_000003829.1,1.2.4.1,,R45,Pyruvate dehydrogenase (acetyl-transferring),R00209,C00003; C00010; C00022,C00004; C00011; C00024; C00080,Km_C00004: 0.029656347; Km_C00011: 0.413209707; Km_C00024: 0.036603667; Km_C00080: 0.307893664; Km_C00003: 0.064532936; Km_C00010: 0.040530939; Km_C00022: 0.38795,Kcat_F: 15.722195232666666; Kcat_R: 4.4501311973333335,,
WP_000003829.1,1.2.4.1,,R46,Pyruvate dehydrogenase (acetyl-transferring),R03270,C05125; C15972,C00068; C16255,Km_C00068: 0.00158; Km_C16255: 0.302165031; Km_C05125: 0.008422038; Km_C15972: 0.014058916,Kcat_F: 3.9213992214999998; Kcat_R: 3.092816338,,
WP_001307570.1,4.2.1.3,,R47,Aconitate hydratase,R01324,C00158,C00311,Km_C00311: 0.339520901; Km_C00158: 1.662616611,Kcat_F: 6.538237947; Kcat_R: 5.557925254,,
WP_001307570.1,4.2.1.3,,R48,Aconitate hydratase,R01325,C00158,C00001; C00417,Km_C00001: 2.687092781; Km_C00417: 0.037000000000000005; Km_C00158: 1.662616611,Kcat_F: 6.538237947; Kcat_R: 34.618153544500004,,
WP_001307570.1,4.2.1.3,,R49,Aconitate hydratase,R01900,C00311,C00001; C00417,Km_C00001: 2.687092781; Km_C00417: 0.037000000000000005; Km_C00311: 0.339520901,Kcat_F: 5.557925254; Kcat_R: 34.618153544500004,,
WP_000099534.1,4.2.1.3,,R50,Aconitate hydratase,R01324,C00158,C00311,Km_C00311: 0.339520901; Km_C00158: 1.662616611,Kcat_F: 6.538237947; Kcat_R: 5.557925254,,
WP_000099534.1,4.2.1.3,,R51,Aconitate hydratase,R01325,C00158,C00001; C00417,Km_C00001: 2.687092781; Km_C00417: 0.037000000000000005; Km_C00158: 1.662616611,Kcat_F: 6.538237947; Kcat_R: 34.618153544500004,,
WP_000099534.1,4.2.1.3,,R52,Aconitate hydratase,R01900,C00311,C00001; C00417,Km_C00001: 2.687092781; Km_C00417: 0.037000000000000005; Km_C00311: 0.339520901,Kcat_F: 5.557925254; Kcat_R: 34.618153544500004,,
WP_001181473.1,1.2.4.2,,R53,Oxoglutarate dehydrogenase (succinyl-transferring),R01700,C00026; C15972,C00011; C16254,Km_C00011: 0.496151149; Km_C16254: 0.022980487; Km_C00026: 332.91150000000005; Km_C15972: 0.020010605,Kcat_F: 11.612947489; Kcat_R: 3.3130215229999997,,
WP_001181473.1,1.2.4.2,,R54,Oxoglutarate dehydrogenase (succinyl-transferring),R00621,C00026; C00068,C00011; C05381,Km_C00011: 0.496151149; Km_C05381: 0.018866798; Km_C00026: 332.91150000000005; Km_C00068: 0.021916483,Kcat_F: 11.193305654000001; Kcat_R: 3.7177315589999997,,
WP_001181473.1,1.2.4.2,,R55,Oxoglutarate dehydrogenase (succinyl-transferring),R01933,C00003; C00010; C00322,C00004; C00011; C00080; C00527,Km_C00004: 0.035209294; Km_C00011: 0.496151149; Km_C00080: 0.608380556; Km_C00527: 0.052975662; Km_C00003: 0.127414092; Km_C00010: 0.066362962; Km_C00322: 0.131888092,Kcat_F: 3.747217959999999; Kcat_R: 3.8586726893333334,,
WP_001181473.1,1.2.4.2,,R56,Oxoglutarate dehydrogenase (succinyl-transferring),R01940,C00322; C15972,C00011; C06157,Km_C00011: 0.496151149; Km_C06157: nan; Km_C00322: 0.131888092; Km_C15972: 0.020010605,Kcat_F: 3.4668274095; Kcat_R: 4.268352804,,
WP_001181473.1,1.2.4.2,,R57,Oxoglutarate dehydrogenase (succinyl-transferring),R03316,C05381; C15972,C00068; C16254,Km_C00068: 0.021916483; Km_C16254: 0.022980487; Km_C05381: 0.018866798; Km_C15972: 0.020010605,Kcat_F: 3.771502646; Kcat_R: 2.947150775,,
WP_001181473.1,1.2.4.2,,R58,Oxoglutarate dehydrogenase (succinyl-transferring),R08549,C00003; C00010; C00026,C00004; C00011; C00080; C00091,Km_C00004: 0.035209294; Km_C00011: 0.496151149; Km_C00080: 0.608380556; Km_C00091: 0.053117804; Km_C00003: 0.127414092; Km_C00010: 0.066362962; Km_C00026: 332.91150000000005,Kcat_F: 9.177964679666667; Kcat_R: 3.939460558666667,,
WP_000025458.1,6.2.1.5,,R59,Succinate-coa ligase (adp-forming),R00405,C00002; C00010; C00042,C00008; C00009; C00091,Km_C00008: 0.045971252; Km_C00009: 1.423858166; Km_C00091: 0.046856858; Km_C00002: 0.059107885; Km_C00010: 4.0; Km_C00042: 0.25,Kcat_F: 37.55658575333333; Kcat_R: 30.505424926666667,,
WP_000025458.1,6.2.1.5,,R60,Succinate-coa ligase (adp-forming),R02404,C00002; C00010; C00490,C00008; C00009; C00531,Km_C00008: 0.045971252; Km_C00009: 1.423858166; Km_C00531: 0.049482018; Km_C00002: 0.059107885; Km_C00010: 4.0; Km_C00490: 0.475,Kcat_F: 23.14658575333333; Kcat_R: 31.080438466666664,,
WP_001048602.1,6.2.1.5,,R61,Succinate-coa ligase (adp-forming),R00405,C00002; C00010; C00042,C00008; C00009; C00091,Km_C00008: 0.045971252; Km_C00009: 1.423858166; Km_C00091: 0.046856858; Km_C00002: 0.059107885; Km_C00010: 4.0; Km_C00042: 0.25,Kcat_F: 37.55658575333333; Kcat_R: 30.505424926666667,,
WP_001048602.1,6.2.1.5,,R62,Succinate-coa ligase (adp-forming),R02404,C00002; C00010; C00490,C00008; C00009; C00531,Km_C00008: 0.045971252; Km_C00009: 1.423858166; Km_C00531: 0.049482018; Km_C00002: 0.059107885; Km_C00010: 4.0; Km_C00490: 0.475,Kcat_F: 23.14658575333333; Kcat_R: 31.080438466666664,,
WP_001235264.1,1.3.5.1,,R63,Succinate dehydrogenase,R02164,C00042; C00399,C00122; C00390,Km_C00122: 0.230714247; Km_C00390: 0.019629668; Km_C00042: 27.275; Km_C00399: 0.0108,Kcat_F: 17.37505705; Kcat_R: 349.5079144075,,
WP_000066639.1,4.2.1.2,,R64,Fumarate hydratase,R01082,C00149,C00001; C00122,Km_C00001: 6.656438828; Km_C00122: 0.910608768; Km_C00149: 0.6771428571428573,Kcat_F: 11.2; Kcat_R: 2921.884996635,,
WP_001295272.1,1.1.1.37,,R65,Malate dehydrogenase,R00342,C00003; C00149,C00004; C00036; C00080,Km_C00004: 0.061; Km_C00036: 0.0445; Km_C00080: 1.627506971; Km_C00003: 0.105280019; Km_C00149: 0.00012,Kcat_F: 3.0071600060000003; Kcat_R: 467.479811568,,
WP_000043460.1,1.1.1.44,,R66,"Phosphogluconate dehydrogenase (nadp+-dependent, decarboxylating)",R01528,C00006; C00345,C00005; C00011; C00080; C00199,Km_C00005: 0.01731511; Km_C00011: 0.468339205; Km_C00080: 1.165087342; Km_C00199: 0.077537887; Km_C00006: 0.049; Km_C00345: 0.093,Kcat_F: 10.118956026; Kcat_R: 16.041648803333334,,
WP_000816280.1,5.1.3.1,,R67,Ribulose-phosphate 3-epimerase,R01529,C00199,C00231,Km_C00231: 0.194523394; Km_C00199: 0.194523394,Kcat_F: 6.229903202; Kcat_R: 6.229903202,,
WP_000189743.1,5.3.1.6,,R68,Ribose-5-phosphate isomerase,R01056,C00117,C00199,Km_C00199: 0.370342284; Km_C00117: 2.776666666666667,Kcat_F: 2100.0; Kcat_R: 0.083821813,,
WP_000098614.1,2.2.1.1,,R69,Transketolase,R01641,C00118; C05382,C00117; C00231,Km_C00117: 1.4; Km_C00231: 0.16; Km_C00118: 0.189899758; Km_C05382: 4.0,Kcat_F: 6.521449158; Kcat_R: 5.8660813125,,
WP_000098614.1,2.2.1.1,,R70,Transketolase,R01067,C00085; C00118,C00231; C00279,Km_C00231: 0.16; Km_C00279: 0.09; Km_C00085: 1.1; Km_C00118: 0.189899758,Kcat_F: 6.662656223; Kcat_R: 6.459872708500001,,
WP_000098614.1,2.2.1.1,,R71,Transketolase,R01830,C00118; C05345,C00231; C00279,Km_C00231: 0.16; Km_C00279: 0.09; Km_C00118: 0.189899758; Km_C05345: 0.556608438,Kcat_F: 6.662656223; Kcat_R: 6.459872708500001,,
WP_000098614.1,2.2.1.1,,R72,Transketolase,R06590,C00117; C12214,C05382; C12215,Km_C05382: 4.0; Km_C12215: 0.399685681; Km_C00117: 1.4; Km_C12214: 0.445117503,Kcat_F: 5.002509517; Kcat_R: 5.172712832,,
WP_000098614.1,2.2.1.1,,R73,Transketolase,R06861,C00068; C00231,C00118; C13378,Km_C00118: 0.189899758; Km_C13378: nan; Km_C00068: 0.038001269; Km_C00231: 0.16,Kcat_F: 5.4421156075; Kcat_R: 7.597125547,,
WP_000098614.1,2.2.1.1,,R74,Transketolase,R06863,C00068; C05382,C00117; C13378,Km_C00117: 1.4; Km_C13378: nan; Km_C00068: 0.038001269; Km_C05382: 4.0,Kcat_F: 5.2795694300000005; Kcat_R: 5.961297501,,
WP_000130189.1,2.2.1.2,,R75,Transaldolase,R08575,C00118; C05382,C00085; C00279,Km_C00085: 0.524452627; Km_C00279: 0.1975; Km_C00118: 0.371981293; Km_C05382: 0.285,Kcat_F: 8.522153938999999; Kcat_R: 8.351666031,,
WP_000130189.1,2.2.1.2,,R76,Transaldolase,R01827,C00118; C05382,C00279; C05345,Km_C00279: 0.1975; Km_C05345: 1.0699999999999998; Km_C00118: 0.371981293; Km_C05382: 0.285,Kcat_F: 8.522153938999999; Kcat_R: 7.961376395,,
WP_001008532.1,1.1.1.100,,R77,3-oxoacyl-[acyl-carrier-protein] reductase,R02767,C00006; C01271,C00005; C00080; C00685,Km_C00005: 0.01; Km_C00080: 1.980178118; Km_C00685: nan; Km_C00006: 0.064330414; Km_C01271: nan,Kcat_F: 0.049053546; Kcat_R: 0.59,,
WP_001008532.1,1.1.1.100,,R78,3-oxoacyl-[acyl-carrier-protein] reductase,R04533,C00006; C04618,C00005; C00080; C05744,Km_C00005: 0.01; Km_C00080: 1.980178118; Km_C05744: nan; Km_C00006: 0.064330414; Km_C04618: nan,Kcat_F: 0.049053546; Kcat_R: 0.59,,
WP_001008532.1,1.1.1.100,,R79,3-oxoacyl-[acyl-carrier-protein] reductase,R04534,C00006; C04619,C00005; C05753,Km_C00005: 0.01; Km_C05753: nan; Km_C00006: 0.064330414; Km_C04619: nan,Kcat_F: 0.049053546; Kcat_R: 0.59,,
WP_001008532.1,1.1.1.100,,R80,3-oxoacyl-[acyl-carrier-protein] reductase,R04536,C00006; C04620,C00005; C00080; C05750,Km_C00005: 0.01; Km_C00080: 1.980178118; Km_C05750: nan; Km_C00006: 0.064330414; Km_C04620: nan,Kcat_F: 0.049053546; Kcat_R: 0.59,,
WP_001008532.1,1.1.1.100,,R81,3-oxoacyl-[acyl-carrier-protein] reductase,R04543,C00006; C04633,C00005; C00080; C05762,Km_C00005: 0.01; Km_C00080: 1.980178118; Km_C05762: nan; Km_C00006: 0.064330414; Km_C04633: nan,Kcat_F: 0.049053546; Kcat_R: 0.59,,
WP_001008532.1,1.1.1.100,,R82,3-oxoacyl-[acyl-carrier-protein] reductase,R04566,C00006; C04688,C00005; C00080; C05759,Km_C00005: 0.01; Km_C00080: 1.980178118; Km_C05759: nan; Km_C00006: 0.064330414; Km_C04688: nan,Kcat_F: 0.049053546; Kcat_R: 0.59,,
WP_001008532.1,1.1.1.100,,R83,3-oxoacyl-[acyl-carrier-protein] reductase,R04953,C00006; C05747,C00005; C00080; C05746,Km_C00005: 0.01; Km_C00080: 1.980178118; Km_C05746: nan; Km_C00006: 0.064330414; Km_C05747: nan,Kcat_F: 0.049053546; Kcat_R: 0.59,,
WP_001008532.1,1.1.1.100,,R84,3-oxoacyl-[acyl-carrier-protein] reductase,R04964,C00006; C05757,C00005; C00080; C05756,Km_C00005: 0.01; Km_C00080: 1.980178118; Km_C05756: nan; Km_C00006: 0.064330414; Km_C05757: nan,Kcat_F: 0.049053546; Kcat_R: 0.59,,
WP_001008532.1,1.1.1.100,,R85,3-oxoacyl-[acyl-carrier-protein] reductase,R07763,C00005; C00080; C16219,C00006; C16220,Km_C00006: 0.064330414; Km_C16220: 0.055316702; Km_C00005: 0.01; Km_C00080: 1.980178118; Km_C16219: 0.045529477,Kcat_F: 0.329154582; Kcat_R: 0.026386561000000003,,
WP_000506490.1,1.3.1.9,,R86,Enoyl-[acyl-carrier-protein] reductase (nadh),R01403,C00003; C00173,C00004; C00080; C00693,Km_C00004: 0.01; Km_C00080: 2.896291494; Km_C00693: nan; Km_C00003: 0.076126106; Km_C00173: nan,Kcat_F: 1.488236809; Kcat_R: 0.832269092,,
WP_000506490.1,1.3.1.9,,R87,Enoyl-[acyl-carrier-protein] reductase (nadh),R04724,C00003; C05223,C00004; C00080; C05758,Km_C00004: 0.01; Km_C00080: 2.896291494; Km_C05758: nan; Km_C00003: 0.076126106; Km_C05223: nan,Kcat_F: 1.488236809; Kcat_R: 0.832269092,,
WP_000506490.1,1.3.1.9,,R88,Enoyl-[acyl-carrier-protein] reductase (nadh),R04955,C00003; C05749,C00004; C00080; C05748,Km_C00004: 0.01; Km_C00080: 2.896291494; Km_C05748: nan; Km_C00003: 0.076126106; Km_C05749: nan,Kcat_F: 1.488236809; Kcat_R: 0.832269092,,
WP_000506490.1,1.3.1.9,,R89,Enoyl-[acyl-carrier-protein] reductase (nadh),R04958,C00003; C05752,C00004; C00080; C05751,Km_C00004: 0.01; Km_C00080: 2.896291494; Km_C05751: nan; Km_C00003: 0.076126106; Km_C05752: 0.02,Kcat_F: 1.488236809; Kcat_R: 0.832269092,,
WP_000506490.1,1.3.1.9,,R90,Enoyl-[acyl-carrier-protein] reductase (nadh),R04961,C00003; C05755,C00004; C00080; C05754,Km_C00004: 0.01; Km_C00080: 2.896291494; Km_C05754: nan; Km_C00003: 0.076126106; Km_C05755: nan,Kcat_F: 1.488236809; Kcat_R: 0.832269092,,
WP_000506490.1,1.3.1.9,,R91,Enoyl-[acyl-carrier-protein] reductase (nadh),R04966,C00003; C05761,C00004; C00080; C05760,Km_C00004: 0.01; Km_C00080: 2.896291494; Km_C05760: nan; Km_C00003: 0.076126106; Km_C05761: nan,Kcat_F: 1.488236809; Kcat_R: 0.832269092,,
WP_000506490.1,1.3.1.9,,R92,Enoyl-[acyl-carrier-protein] reductase (nadh),R04969,C00003; C05764,C00004; C00080; C05763,Km_C00004: 0.01; Km_C00080: 2.896291494; Km_C05763: nan; Km_C00003: 0.076126106; Km_C05764: nan,Kcat_F: 1.488236809; Kcat_R: 0.832269092,,
WP_000506490.1,1.3.1.9,,R93,Enoyl-[acyl-carrier-protein] reductase (nadh),R04429,C00003; C05745,C00004; C00080; C04246,Km_C00004: 0.01; Km_C00080: 2.896291494; Km_C04246: nan; Km_C00003: 0.076126106; Km_C05745: nan,Kcat_F: 1.488236809; Kcat_R: 0.832269092,,
WP_000288146.1,2.3.1.180,,R94,Beta-ketoacyl-[acyl-carrier-protein] synthase iii,R01624,C00024; C00229,C00010; C03939,Km_C00010: 0.064401604; Km_C03939: nan; Km_C00024: 0.042499999999999996; Km_C00229: nan,Kcat_F: 18.53948396; Kcat_R: 26.2929435,,
WP_000288146.1,2.3.1.180,,R95,Beta-ketoacyl-[acyl-carrier-protein] synthase iii,R04355,C01209; C03939,C00011; C00229; C05744,Km_C00011: 0.434365362; Km_C00229: nan; Km_C05744: nan; Km_C01209: 0.005; Km_C03939: nan,Kcat_F: nan; Kcat_R: 35.38314654,,
WP_000288146.1,2.3.1.180,,R96,Beta-ketoacyl-[acyl-carrier-protein] synthase iii,R04726,C01209; C05223,C00011; C00229; C05759,Km_C00011: 0.434365362; Km_C00229: nan; Km_C05759: nan; Km_C01209: 0.005; Km_C05223: nan,Kcat_F: nan; Kcat_R: 35.38314654,,
