Accession Number,EC,Species,Label,Enzyme,Reaction ID,Substrates,Products,Km,Kcat
WP_001181473.1,1.2.4.2,,R11,Oxoglutarate dehydrogenase (succinyl-transferring),R01940,C00322; C15972,C00011; C06157,Km_C00011: 4.268352803810921; Km_C06157: nan; Km_C00322: 2.557759841012184; Km_C15972: 4.375894977583065,Kcat_C00011: 4.268352803810921; Kcat_C06157: nan; Kcat_C00322: 2.557759841012184; Kcat_C15972: 4.375894977583065
WP_001181473.1,1.2.4.2,,R12,Oxoglutarate dehydrogenase (succinyl-transferring),R03316,C05381; C15972,C00068; C16254,Km_C00068: 3.536611308241128; Km_C16254: 2.357690241789859; Km_C05381: 3.167110314220737; Km_C15972: 4.375894977583065,Kcat_C00068: 3.536611308241128; Kcat_C16254: 2.357690241789859; Kcat_C05381: 3.167110314220737; Kcat_C15972: 4.375894977583065
WP_001181473.1,1.2.4.2,,R13,Oxoglutarate dehydrogenase (succinyl-transferring),R08549,C00003; C00010; C00026,C00004; C00011; C00080; C00091,Km_C00004: 3.7701391624218648; Km_C00011: 4.268352803810921; Km_C00080: nan; Km_C00091: 3.779889710242416; Km_C00003: 4.034974102400456; Km_C00010: 4.648919937315644; Km_C00026: 332.91150000000005,Kcat_C00004: 3.7701391624218648; Kcat_C00011: 4.268352803810921; Kcat_C00080: nan; Kcat_C00091: 3.779889710242416; Kcat_C00003: 4.034974102400456; Kcat_C00010: 4.648919937315644; Kcat_C00026: 18.85
WP_000653944.1,2.7.7.6,,R14,Dna-directed rna polymerase,R00444,C00201,C00013; C00046,Km_C00013: 0.0031809519978795; Km_C00046: nan; Km_C00201: nan,Kcat_C00013: 0.0031809519978795; Kcat_C00046: nan; Kcat_C00201: nan
WP_000653944.1,2.7.7.6,,R15,Dna-directed rna polymerase,R00435,C00002,C00013; C00046,Km_C00013: 0.0031809519978795; Km_C00046: nan; Km_C00002: 0.0918674402620869,Kcat_C00013: 0.0031809519978795; Kcat_C00046: nan; Kcat_C00002: 0.0918674402620869
WP_000653944.1,2.7.7.6,,R16,Dna-directed rna polymerase,R00441,C00044,C00013; C00046,Km_C00013: 0.0031809519978795; Km_C00046: nan; Km_C00044: 0.0577363968134691,Kcat_C00013: 0.0031809519978795; Kcat_C00046: nan; Kcat_C00044: 0.0577363968134691
WP_000653944.1,2.7.7.6,,R17,Dna-directed rna polymerase,R00442,C00063,C00013; C00046,Km_C00013: 0.0031809519978795; Km_C00046: nan; Km_C00063: 0.0578574521193696,Kcat_C00013: 0.0031809519978795; Kcat_C00046: nan; Kcat_C00063: 0.0578574521193696
WP_000653944.1,2.7.7.6,,R18,Dna-directed rna polymerase,R00443,C00075,C00013; C00046,Km_C00013: 0.0031809519978795; Km_C00046: nan; Km_C00075: 0.0499242719984405,Kcat_C00013: 0.0031809519978795; Kcat_C00046: nan; Kcat_C00075: 0.0499242719984405
WP_000153502.1,1.2.1.12,,R19,Glyceraldehyde-3-phosphate dehydrogenase (phosphorylating),R01061,C00003; C00009; C00118,C00004; C00080; C00236,Km_C00004: 14.232438437904698; Km_C00080: nan; Km_C00236: 12.08150261265417; Km_C00003: 9.567463624976444; Km_C00009: 0.4073278871644286; Km_C00118: 18.78189583458648,Kcat_C00004: 14.232438437904698; Kcat_C00080: nan; Kcat_C00236: 12.08150261265417; Kcat_C00003: 9.567463624976444; Kcat_C00009: 0.4073278871644286; Kcat_C00118: 18.78189583458648
WP_000003829.1,1.2.4.1,,R20,Pyruvate dehydrogenase (acetyl-transferring),R01699,C00022; C15972,C00011; C16255,Km_C00011: 4.707686511286052; Km_C16255: 2.4751927798461866; Km_C00022: 0.38795; Km_C15972: 4.726234408900063,Kcat_C00011: 4.707686511286052; Kcat_C16255: 2.4751927798461866; Kcat_C00022: 37.9; Kcat_C15972: 4.726234408900063
WP_000003829.1,1.2.4.1,,R21,Pyruvate dehydrogenase (acetyl-transferring),R00014,C00022; C00068,C00011; C05125,Km_C00011: 4.707686511286052; Km_C05125: 3.116564033851988; Km_C00022: 0.38795; Km_C00068: 0.00158,Kcat_C00011: 4.707686511286052; Kcat_C05125: 3.116564033851988; Kcat_C00022: 37.9; Kcat_C00068: 0.0
WP_000003829.1,1.2.4.1,,R22,Pyruvate dehydrogenase (acetyl-transferring),R00209,C00003; C00010; C00022,C00004; C00011; C00024; C00080,Km_C00004: 4.15798581979752; Km_C00011: 4.707686511286052; Km_C00024: 4.48472126104955; Km_C00080: nan; Km_C00003: 4.379621543917873; Km_C00010: 4.886964153723622; Km_C00022: 0.38795,Kcat_C00004: 4.15798581979752; Kcat_C00011: 4.707686511286052; Kcat_C00024: 4.48472126104955; Kcat_C00080: nan; Kcat_C00003: 4.379621543917873; Kcat_C00010: 4.886964153723622; Kcat_C00022: 37.9
WP_000003829.1,1.2.4.1,,R23,Pyruvate dehydrogenase (acetyl-transferring),R03270,C05125; C15972,C00068; C16255,Km_C00068: 0.00158; Km_C16255: 2.4751927798461866; Km_C05125: 3.116564033851988; Km_C15972: 4.726234408900063,Kcat_C00068: 0.0; Kcat_C16255: 2.4751927798461866; Kcat_C05125: 3.116564033851988; Kcat_C15972: 4.726234408900063
WP_001198386.1,5.2.1.8,,R24,Peptidylprolyl isomerase,R04273,C03798,C03633,Km_C03633: nan; Km_C03798: nan,Kcat_C03633: nan; Kcat_C03798: nan
WP_001126376.1,6.3.5.5,,R25,Carbamoyl-phosphate synthase (glutamine-hydrolysing),R00256,C00001; C00064,C00014; C00025,Km_C00014: 12.941032268840123; Km_C00025: 5.728558938966575; Km_C00001: 2.735381716985739; Km_C00064: 8.607574689374955,Kcat_C00014: 12.941032268840123; Kcat_C00025: 5.728558938966575; Kcat_C00001: 2.735381716985739; Kcat_C00064: 8.607574689374955
WP_001126376.1,6.3.5.5,,R26,Carbamoyl-phosphate synthase (glutamine-hydrolysing),R00575,C00001; C00002; C00064; C00288,C00008; C00009; C00025; C00169,Km_C00008: 7.210271321065077; Km_C00009: 0.3341977968900176; Km_C00025: 5.728558938966575; Km_C00169: 7.436894410280195; Km_C00001: 2.735381716985739; Km_C00002: 6.964957896305543; Km_C00064: 8.607574689374955; Km_C00288: 1.4766666666666666,Kcat_C00008: 7.210271321065077; Kcat_C00009: 0.3341977968900176; Kcat_C00025: 5.728558938966575; Kcat_C00169: 7.436894410280195; Kcat_C00001: 2.735381716985739; Kcat_C00002: 6.964957896305543; Kcat_C00064: 8.607574689374955; Kcat_C00288: 0.0
WP_001126376.1,6.3.5.5,,R27,Carbamoyl-phosphate synthase (glutamine-hydrolysing),R07641,C00002; C00014; C00288,C00008; C00009; C00169,Km_C00008: 7.210271321065077; Km_C00009: 0.3341977968900176; Km_C00169: 7.436894410280195; Km_C00002: 6.964957896305543; Km_C00014: 12.941032268840123; Km_C00288: 1.4766666666666666,Kcat_C00008: 7.210271321065077; Kcat_C00009: 0.3341977968900176; Kcat_C00169: 7.436894410280195; Kcat_C00002: 6.964957896305543; Kcat_C00014: 12.941032268840123; Kcat_C00288: 0.0
WP_000102485.1,1.8.1.4,,R28,Dihydrolipoyl dehydrogenase,R08550,C00003; C16832,C00004; C00080; C16237,Km_C00004: 278.58080721815406; Km_C00080: nan; Km_C16237: 47.26969987317093; Km_C00003: 117.91623043542522; Km_C16832: 46.51388069308685,Kcat_C00004: 278.58080721815406; Kcat_C00080: nan; Kcat_C16237: 47.26969987317093; Kcat_C00003: 117.91623043542522; Kcat_C16832: 46.51388069308685
WP_000102485.1,1.8.1.4,,R29,Dihydrolipoyl dehydrogenase,R03815,C00003; C02972,C00004; C00080; C02051,Km_C00004: 278.58080721815406; Km_C00080: nan; Km_C02051: nan; Km_C00003: 117.91623043542522; Km_C02972: nan,Kcat_C00004: 278.58080721815406; Kcat_C00080: nan; Kcat_C02051: nan; Kcat_C00003: 117.91623043542522; Kcat_C02972: nan
WP_000102485.1,1.8.1.4,,R30,Dihydrolipoyl dehydrogenase,R07618,C00003; C15973,C00004; C00080; C15972,Km_C00004: 278.58080721815406; Km_C00080: nan; Km_C15972: 147.3985936142972; Km_C00003: 117.91623043542522; Km_C15973: 38.96617999687092,Kcat_C00004: 278.58080721815406; Kcat_C00080: nan; Kcat_C15972: 147.3985936142972; Kcat_C00003: 117.91623043542522; Kcat_C15973: 38.96617999687092
WP_000102485.1,1.8.1.4,,R31,Dihydrolipoyl dehydrogenase,R00209,C00003; C00010; C00022,C00004; C00011; C00024; C00080,Km_C00004: 278.58080721815406; Km_C00011: 382.1429480749678; Km_C00024: 168.4168991222291; Km_C00080: nan; Km_C00003: 117.91623043542522; Km_C00010: 302.73264468842194; Km_C00022: 0.3933333333333333,Kcat_C00004: 278.58080721815406; Kcat_C00011: 382.1429480749678; Kcat_C00024: 168.4168991222291; Kcat_C00080: nan; Kcat_C00003: 117.91623043542522; Kcat_C00010: 302.73264468842194; Kcat_C00022: 0.0
WP_000102485.1,1.8.1.4,,R32,Dihydrolipoyl dehydrogenase,R01221,C00003; C00037; C00101,C00004; C00011; C00014; C00080; C00143,Km_C00004: 278.58080721815406; Km_C00011: 382.1429480749678; Km_C00014: 374.4818094956306; Km_C00080: nan; Km_C00143: 135.59408045606955; Km_C00003: 117.91623043542522; Km_C00037: 53.05621117186874; Km_C00101: 120.25405004984285,Kcat_C00004: 278.58080721815406; Kcat_C00011: 382.1429480749678; Kcat_C00014: 374.4818094956306; Kcat_C00080: nan; Kcat_C00143: 135.59408045606955; Kcat_C00003: 117.91623043542522; Kcat_C00037: 53.05621117186874; Kcat_C00101: 120.25405004984285
WP_000102485.1,1.8.1.4,,R33,Dihydrolipoyl dehydrogenase,R01698,C00003; C00579,C00004; C00080; C00248,Km_C00004: 278.58080721815406; Km_C00080: nan; Km_C00248: 282.2657256238037; Km_C00003: 117.91623043542522; Km_C00579: 0.12833333333333335,Kcat_C00004: 278.58080721815406; Kcat_C00080: nan; Kcat_C00248: 282.2657256238037; Kcat_C00003: 117.91623043542522; Kcat_C00579: 0.0
WP_000102485.1,1.8.1.4,,R34,Dihydrolipoyl dehydrogenase,R01933,C00003; C00010; C00322,C00004; C00011; C00080; C00527,Km_C00004: 278.58080721815406; Km_C00011: 382.1429480749678; Km_C00080: nan; Km_C00527: 141.3759161337945; Km_C00003: 117.91623043542522; Km_C00010: 302.73264468842194; Km_C00322: 287.98624008775244,Kcat_C00004: 278.58080721815406; Kcat_C00011: 382.1429480749678; Kcat_C00080: nan; Kcat_C00527: 141.3759161337945; Kcat_C00003: 117.91623043542522; Kcat_C00010: 302.73264468842194; Kcat_C00322: 287.98624008775244
WP_000102485.1,1.8.1.4,,R35,Dihydrolipoyl dehydrogenase,R08549,C00003; C00010; C00026,C00004; C00011; C00080; C00091,Km_C00004: 278.58080721815406; Km_C00011: 382.1429480749678; Km_C00080: nan; Km_C00091: 140.0109143862107; Km_C00003: 117.91623043542522; Km_C00010: 302.73264468842194; Km_C00026: 346.1416679759671,Kcat_C00004: 278.58080721815406; Kcat_C00011: 382.1429480749678; Kcat_C00080: nan; Kcat_C00091: 140.0109143862107; Kcat_C00003: 117.91623043542522; Kcat_C00010: 302.73264468842194; Kcat_C00026: 346.1416679759671
WP_001048602.1,6.2.1.5,,R36,Succinate-coa ligase (adp-forming),R00405,C00002; C00010; C00042,C00008; C00009; C00091,Km_C00008: 45.70923705479375; Km_C00009: 8.301305789768351; Km_C00091: 37.50573194306116; Km_C00002: 41.23975726097893; Km_C00010: 4.0; Km_C00042: 0.25,Kcat_C00008: 45.70923705479375; Kcat_C00009: 8.301305789768351; Kcat_C00091: 37.50573194306116; Kcat_C00002: 41.23975726097893; Kcat_C00010: 26.7; Kcat_C00042: 44.73
WP_001048602.1,6.2.1.5,,R37,Succinate-coa ligase (adp-forming),R02404,C00002; C00010; C00490,C00008; C00009; C00531,Km_C00008: 45.70923705479375; Km_C00009: 8.301305789768351; Km_C00531: 39.23077256268491; Km_C00002: 41.23975726097893; Km_C00010: 4.0; Km_C00490: 0.475,Kcat_C00008: 45.70923705479375; Kcat_C00009: 8.301305789768351; Kcat_C00531: 39.23077256268491; Kcat_C00002: 41.23975726097893; Kcat_C00010: 26.7; Kcat_C00490: 1.5
WP_000111269.1,2.7.2.3,,R38,Phosphoglycerate kinase,R01512,C00002; C00197,C00008; C00236,Km_C00008: 18.69390891638641; Km_C00236: 23.36376303204856; Km_C00002: 17.038122083270064; Km_C00197: 75.0926293629676,Kcat_C00008: 18.69390891638641; Kcat_C00236: 23.36376303204856; Kcat_C00002: 17.038122083270064; Kcat_C00197: 75.0926293629676
WP_000047185.1,6.1.1.7,,R39,Alanine-trna ligase,R03038,C00002; C00041; C01635,C00013; C00020; C00886,Km_C00013: 0.1712522707023294; Km_C00020: 2.9698579339337274; Km_C00886: nan; Km_C00002: 2.212295606891499; Km_C00041: 1.8989052464766467; Km_C01635: 0.0017499999999999998,Kcat_C00013: 0.1712522707023294; Kcat_C00020: 2.9698579339337274; Kcat_C00886: nan; Kcat_C00002: 2.212295606891499; Kcat_C00041: 1.8989052464766467; Kcat_C01635: 0.44
WP_000036723.1,4.2.1.11,,R40,Phosphopyruvate hydratase,R00658,C00631,C00001; C00074,Km_C00001: 3.62315947050995; Km_C00074: 11.968924207702432; Km_C00631: 9.2478538917483,Kcat_C00001: 3.62315947050995; Kcat_C00074: 11.968924207702432; Kcat_C00631: 9.2478538917483
WP_000036723.1,4.2.1.11,,R41,Phosphopyruvate hydratase,R04206,C03356,C00001; C04309,Km_C00001: 3.62315947050995; Km_C04309: 4.4563397637226965; Km_C03356: 4.081638296034895,Kcat_C00001: 3.62315947050995; Kcat_C04309: 4.4563397637226965; Kcat_C03356: 4.081638296034895
WP_000098614.1,2.2.1.1,,R42,Transketolase,R01641,C00118; C05382,C00117; C00231,Km_C00117: 1.4; Km_C00231: 0.16; Km_C00118: 7.597125547218056; Km_C05382: 4.0,Kcat_C00117: 0.0; Kcat_C00231: 0.0; Kcat_C00118: 7.597125547218056; Kcat_C05382: 0.0
WP_000098614.1,2.2.1.1,,R43,Transketolase,R01067,C00085; C00118,C00231; C00279,Km_C00231: 0.16; Km_C00279: 0.09; Km_C00085: 1.1; Km_C00118: 7.597125547218056,Kcat_C00231: 0.0; Kcat_C00279: 0.0; Kcat_C00085: 0.0; Kcat_C00118: 7.597125547218056
WP_000098614.1,2.2.1.1,,R44,Transketolase,R01830,C00118; C05345,C00231; C00279,Km_C00231: 0.16; Km_C00279: 0.09; Km_C00118: 7.597125547218056; Km_C05345: 5.728186899177397,Kcat_C00231: 0.0; Kcat_C00279: 0.0; Kcat_C00118: 7.597125547218056; Kcat_C05345: 5.728186899177397
WP_000098614.1,2.2.1.1,,R45,Transketolase,R06590,C00117; C12214,C05382; C12215,Km_C05382: 4.0; Km_C12215: 4.899652894774429; Km_C00117: 1.4; Km_C12214: 4.043721533329,Kcat_C05382: 0.0; Kcat_C12215: 4.899652894774429; Kcat_C00117: 0.0; Kcat_C12214: 4.043721533329
WP_000098614.1,2.2.1.1,,R46,Transketolase,R06861,C00068; C00231,C00118; C13378,Km_C00118: 7.597125547218056; Km_C13378: nan; Km_C00068: 5.113366090631488; Km_C00231: 0.16,Kcat_C00118: 7.597125547218056; Kcat_C13378: nan; Kcat_C00068: 5.113366090631488; Kcat_C00231: 0.0
WP_000098614.1,2.2.1.1,,R47,Transketolase,R06863,C00068; C05382,C00117; C13378,Km_C00117: 1.4; Km_C13378: nan; Km_C00068: 5.113366090631488; Km_C05382: 4.0,Kcat_C00117: 0.0; Kcat_C13378: nan; Kcat_C00068: 5.113366090631488; Kcat_C05382: 0.0
WP_000963518.1,2.3.1.12,,R48,Dihydrolipoyllysine-residue acetyltransferase,R02569,C00024; C15973,C00010; C16255,Km_C00010: 32.87687944172556; Km_C16255: 12.538580102999296; Km_C00024: 25.226388630636144; Km_C15973: 10.429653915405156,Kcat_C00010: 32.87687944172556; Kcat_C16255: 12.538580102999296; Kcat_C00024: 25.226388630636144; Kcat_C15973: 10.429653915405156
WP_000963518.1,2.3.1.12,,R49,Dihydrolipoyllysine-residue acetyltransferase,R00209,C00003; C00010; C00022,C00004; C00011; C00024; C00080,Km_C00004: 29.32445716980205; Km_C00011: 34.162558949646424; Km_C00024: 25.226388630636144; Km_C00080: nan; Km_C00003: 21.476534236585987; Km_C00010: 32.87687944172556; Km_C00022: 24.897244583984545,Kcat_C00004: 29.32445716980205; Kcat_C00011: 34.162558949646424; Kcat_C00024: 25.226388630636144; Kcat_C00080: nan; Kcat_C00003: 21.476534236585987; Kcat_C00010: 32.87687944172556; Kcat_C00022: 24.897244583984545
WP_000024939.1,1.1.1.86,,R50,Ketol-acid reductoisomerase (nadp+),R04439,C00006; C04272,C00005; C00080; C06010,Km_C00005: 0.009843333333333334; Km_C00080: nan; Km_C06010: 0.8131427357587631; Km_C00006: 0.030275; Km_C04272: 0.6306788717086754,Kcat_C00005: 0.12; Kcat_C00080: nan; Kcat_C06010: 0.8131427357587631; Kcat_C00006: 0.00033350000000000003; Kcat_C04272: 0.6306788717086754
WP_000024939.1,1.1.1.86,,R51,Ketol-acid reductoisomerase (nadp+),R03051,C00005; C00080; C00900,C00006; C04039,Km_C00006: 0.030275; Km_C04039: 0.0; Km_C00005: 0.009843333333333334; Km_C00080: nan; Km_C00900: 0.25,Kcat_C00006: 0.00033350000000000003; Kcat_C04039: 0.00417; Kcat_C00005: 0.12; Kcat_C00080: nan; Kcat_C00900: 1.7436666666666667
WP_000024939.1,1.1.1.86,,R52,Ketol-acid reductoisomerase (nadp+),R04440,C00006; C04272,C00005; C00080; C04181,Km_C00005: 0.009843333333333334; Km_C00080: nan; Km_C04181: 0.26; Km_C00006: 0.030275; Km_C04272: 0.6306788717086754,Kcat_C00005: 0.12; Kcat_C00080: nan; Kcat_C04181: 3.1; Kcat_C00006: 0.00033350000000000003; Kcat_C04272: 0.6306788717086754
WP_000024939.1,1.1.1.86,,R53,Ketol-acid reductoisomerase (nadp+),R05068,C00006; C06007,C00005; C00080; C14463,Km_C00005: 0.009843333333333334; Km_C00080: nan; Km_C14463: nan; Km_C00006: 0.030275; Km_C06007: 1.444087799927672,Kcat_C00005: 0.12; Kcat_C00080: nan; Kcat_C14463: nan; Kcat_C00006: 0.00033350000000000003; Kcat_C06007: 1.444087799927672
WP_000024939.1,1.1.1.86,,R54,Ketol-acid reductoisomerase (nadp+),R05069,C06006,C14463,Km_C14463: nan; Km_C06006: 1.4882368088148543,Kcat_C14463: nan; Kcat_C06006: 1.4882368088148543
WP_000024939.1,1.1.1.86,,R55,Ketol-acid reductoisomerase (nadp+),R05071,C06010,C04181,Km_C04181: 0.26; Km_C06010: 0.8131427357587631,Kcat_C04181: 3.1; Kcat_C06010: 0.8131427357587631
WP_000034402.1,2.5.1.47,,R56,Cysteine synthase,R00897,C00283; C00979,C00033; C00097,Km_C00033: 237.41735770183217; Km_C00097: 190.7013796293515; Km_C00283: 0.0095; Km_C00979: 10.233333333333333,Kcat_C00033: 237.41735770183217; Kcat_C00097: 190.7013796293515; Kcat_C00283: 0.0; Kcat_C00979: 24.0
WP_000034402.1,2.5.1.47,,R57,Cysteine synthase,R03132,C00320; C00979,C00033; C05824,Km_C00033: 237.41735770183217; Km_C05824: 75.61675135622255; Km_C00320: 30.58791348149046; Km_C00979: 10.233333333333333,Kcat_C00033: 237.41735770183217; Kcat_C05824: 75.61675135622255; Kcat_C00320: 30.58791348149046; Kcat_C00979: 24.0
WP_000034402.1,2.5.1.47,,R58,Cysteine synthase,R03601,C00979; C01528,C00033; C05688,Km_C00033: 237.41735770183217; Km_C05688: 5.064318958926057; Km_C00979: 10.233333333333333; Km_C01528: 35.0420275438551,Kcat_C00033: 237.41735770183217; Kcat_C05688: 5.064318958926057; Kcat_C00979: 24.0; Kcat_C01528: 35.0420275438551
WP_000034402.1,2.5.1.47,,R59,Cysteine synthase,R04859,C00080; C00320; C00342; C00979,C00033; C00094; C00097; C00343,Km_C00033: 237.41735770183217; Km_C00094: 65.17979377570927; Km_C00097: 190.7013796293515; Km_C00343: nan; Km_C00080: nan; Km_C00320: 30.58791348149046; Km_C00342: nan; Km_C00979: 10.233333333333333,Kcat_C00033: 237.41735770183217; Kcat_C00094: 65.17979377570927; Kcat_C00097: 190.7013796293515; Kcat_C00343: nan; Kcat_C00080: nan; Kcat_C00320: 30.58791348149046; Kcat_C00342: nan; Kcat_C00979: 24.0
WP_001295272.1,1.1.1.37,,R60,Malate dehydrogenase,R00342,C00003; C00149,C00004; C00036; C00080,Km_C00004: 0.061; Km_C00036: 0.0445; Km_C00080: nan; Km_C00003: 3.777529539557401; Km_C00149: 2.6,Kcat_C00004: 0.0; Kcat_C00036: 931.0; Kcat_C00080: nan; Kcat_C00003: 3.777529539557401; Kcat_C00149: 0.0
WP_001162094.1,2.7.7.6,,R61,Dna-directed rna polymerase,R00444,C00201,C00013; C00046,Km_C00013: 0.0031809519978795; Km_C00046: nan; Km_C00201: nan,Kcat_C00013: 0.0031809519978795; Kcat_C00046: nan; Kcat_C00201: nan
WP_001162094.1,2.7.7.6,,R62,Dna-directed rna polymerase,R00435,C00002,C00013; C00046,Km_C00013: 0.0031809519978795; Km_C00046: nan; Km_C00002: 0.0918674402620869,Kcat_C00013: 0.0031809519978795; Kcat_C00046: nan; Kcat_C00002: 0.0918674402620869
WP_001162094.1,2.7.7.6,,R63,Dna-directed rna polymerase,R00441,C00044,C00013; C00046,Km_C00013: 0.0031809519978795; Km_C00046: nan; Km_C00044: 0.0577363968134691,Kcat_C00013: 0.0031809519978795; Kcat_C00046: nan; Kcat_C00044: 0.0577363968134691
WP_001162094.1,2.7.7.6,,R64,Dna-directed rna polymerase,R00442,C00063,C00013; C00046,Km_C00013: 0.0031809519978795; Km_C00046: nan; Km_C00063: 0.0578574521193696,Kcat_C00013: 0.0031809519978795; Kcat_C00046: nan; Kcat_C00063: 0.0578574521193696
WP_001162094.1,2.7.7.6,,R65,Dna-directed rna polymerase,R00443,C00075,C00013; C00046,Km_C00013: 0.0031809519978795; Km_C00046: nan; Km_C00075: 0.0499242719984405,Kcat_C00013: 0.0031809519978795; Kcat_C00046: nan; Kcat_C00075: 0.0499242719984405
WP_000130189.1,2.2.1.2,,R66,Transaldolase,R08575,C00118; C05382,C00085; C00279,Km_C00085: 5.290579272287643; Km_C00279: 0.1975; Km_C00118: 9.148511288817105; Km_C05382: 0.285,Kcat_C00085: 5.290579272287643; Kcat_C00279: 0.0; Kcat_C00118: 9.148511288817105; Kcat_C05382: 0.0
WP_000130189.1,2.2.1.2,,R67,Transaldolase,R01827,C00118; C05382,C00279; C05345,Km_C00279: 0.1975; Km_C05345: 1.0699999999999998; Km_C00118: 9.148511288817105; Km_C05382: 0.285,Kcat_C00279: 0.0; Kcat_C05345: 4.510000000000001; Kcat_C00118: 9.148511288817105; Kcat_C05382: 0.0
WP_001260712.1,6.1.1.15,,R68,Proline-trna ligase,R03661,C00002; C00148; C01649,C00013; C00020; C02702,Km_C00013: 0.0042213338149911; Km_C00020: 1.9056210493560524; Km_C02702: nan; Km_C00002: 0.4425452872792196; Km_C00148: 2.9007804110596127; Km_C01649: 0.01414,Kcat_C00013: 0.0042213338149911; Kcat_C00020: 1.9056210493560524; Kcat_C02702: nan; Kcat_C00002: 0.4425452872792196; Kcat_C00148: 2.9007804110596127; Kcat_C01649: 0.239
WP_001286879.1,6.1.1.5,,R69,Isoleucine-trna ligase,R03656,C00002; C00407; C01644,C00013; C00020; C03127,Km_C00013: 1.8917852223035656; Km_C00020: 23.669285762552786; Km_C03127: nan; Km_C00002: 24.25248145768348; Km_C00407: 3.833174044765189; Km_C01644: 0.0021,Kcat_C00013: 1.8917852223035656; Kcat_C00020: 23.669285762552786; Kcat_C03127: nan; Kcat_C00002: 24.25248145768348; Kcat_C00407: 3.833174044765189; Kcat_C01644: 3.1
