,Accession Number,EC,Species,Label,Enzyme,Reaction ID,Mechanism,Substrates,Products,Km,Kcat,Inhibitors,KI
47,WP_000034402.1,2.5.1.47,Escherichia coli,R48,Cysteine synthase,R00897,MRL,C00283; C00979,C00033; C00097,Km_C00033: 1.032412648; Km_C00097: 0.138483271; Km_C00283: 0.0095; Km_C00979: 11.033333333333333,Kcat_F: 1143.9627055; Kcat_R: 214.05936865,C05688;C00343;C05824;C00342;C00094;C00097;C00283;C00320;C01528;C00979;C00080;C00033,C00979_KI: 1.186576843;C00097_KI: 0.138483271;C00094_KI: 0.575978339;C00320_KI: 0.387112081;C00283_KI: 0.025407897;C00080_KI: 0.555193543;C05824_KI: 0.697108686;C00033_KI: 1.032412648;C00342_KI: 0.5313378899;C01528_KI: 0.02911186;C05688_KI: 0.685993731;C00343_KI: 0.5313378899
51,WP_001295272.1,1.1.1.37,Escherichia coli,R52,Malate dehydrogenase,R00342,MRL,C00003; C00149,C00004; C00036; C00080,Km_C00004: 0.061; Km_C00036: 0.0445; Km_C00080: 1.627506971; Km_C00003: 0.105280019; Km_C00149: 0.00012,Kcat_F: 3.0071600060000003; Kcat_R: 467.479811568,C02441;C00003;C00004;C00024;C00036;C00010;C00149;C00741;C11592;C00002;C00209;C00080,C00741_KI: 0.211944282;C00080_KI: 1.627506971;C00036_KI: 0.066584691;C00149_KI: 0.161660373;C00003_KI: 0.105280019;C02441_KI: 0.095263213;C00024_KI: 0.036240213;C00209_KI: 0.177507535;C00004_KI: 0.034674671;C00002_KI: 0.045088965;C00010_KI: 0.03518714;C11592_KI: 0.23608527936363635
53,WP_000130189.1,2.2.1.2,Escherichia coli,R54,Transaldolase,R01827,MRL,C00118; C05382,C00279; C05345,Km_C00279: 0.1975; Km_C05345: 1.0699999999999998; Km_C00118: 0.371981293; Km_C05382: 0.285,Kcat_F: 8.522153938999999; Kcat_R: 7.961376395,C05382;C01112;C00279;C07182;C00118;C02426;C05345;C00009;C00085,C05345_KI: 0.524452627;C00009_KI: 0.950375021;C00279_KI: 0.135417953;C02426_KI: 0.760540366;C07182_KI: 0.169961855;C05382_KI: 0.055124156;C00085_KI: 0.524452627;C01112_KI: 0.118502431;C00118_KI: 0.371981293
54,WP_001260712.1,6.1.1.15,Escherichia coli,R55,Proline-trna ligase,R03661,MRL,C00002; C00148; C01649,C00013; C00020; C02702,Km_C00013: 0.223068416; Km_C00020: 0.065034218; Km_C02702: 0.1107568676; Km_C00002: 0.089042157; Km_C00148: 0.162499547; Km_C01649: 0.01414,Kcat_F: 1.194108566; Kcat_R: 0.9549211915,C00148;C00013;C00020;C02702;C00002;C01649,C00020_KI: 0.065034218;C00002_KI: 0.089042157;C00013_KI: 0.223068416;C02702_KI: 0.1349110845;C00148_KI: 0.162499547;C01649_KI: 0.1349110845
55,WP_001286879.1,6.1.1.5,Escherichia coli,R56,Isoleucine-trna ligase,R03656,MRL,C00002; C00407; C01644,C00013; C00020; C03127,Km_C00013: 0.039245732; Km_C00020: 0.01626548; Km_C03127: 0.0243369574; Km_C00002: 0.018193932; Km_C00407: 0.045879643; Km_C01644: 0.0021,Kcat_F: 10.395218501666667; Kcat_R: 12.780535491,C00013;C00020;C03127;C00407;C01644;C00002,C00020_KI: 0.01626548;C00013_KI: 0.039245732;C00002_KI: 0.018193932;C03127_KI: 0.02989619675;C00407_KI: 0.045879643;C01644_KI: 0.02989619675
56,WP_000069410.1,2.7.9.2,Escherichia coli,R57,"Pyruvate, water dikinase",R00199,MRL,C00001; C00002; C00022,C00009; C00020; C00074,Km_C00009: 1.4596771; Km_C00020: 0.023508446; Km_C00074: 0.141774222; Km_C00001: 0.2813887; Km_C00002: 0.021786314; Km_C00022: 0.083,Kcat_F: 4.470776205666667; Kcat_R: 4.215818079333333,C00022;C00008;C00020;C00026;C00001;C00036;C00209;C00742;C00002;C16487;C00009;C00074,C00209_KI: 0.194728702;C00002_KI: 0.021786314;C00742_KI: 0.482464641;C00074_KI: 0.141774222;C00022_KI: 0.196769923;C00036_KI: 0.119141854;C00020_KI: 0.023508446;C00026_KI: 0.239058182;C00008_KI: 0.026302056;C00009_KI: 1.4596771;C16487_KI: 0.2896909218181818;C00001_KI: 0.2813887
57,WP_000099823.1,2.3.1.61,Escherichia coli,R58,Dihydrolipoyllysine-residue succinyltransferase,R02570,MRL,C00091; C15973,C00010; C16254,Km_C00010: 0.029741414; Km_C16254: 0.014438955; Km_C00091: 0.025520761; Km_C15973: 0.011323265,Kcat_F: 1.310404403; Kcat_R: 1.2367148335,C06157;C15973;C00527;C16254;C00003;C00004;C00011;C00026;C00010;C00322;C00080;C00091,C00026_KI: 0.172540799;C15973_KI: 0.011323265;C00527_KI: 0.025667293;C00011_KI: 0.328845918;C16254_KI: 0.014438955;C00010_KI: 0.029741414;C00080_KI: 0.236688018;C06157_KI: 0.09181020372727274;C00004_KI: 0.0277845;C00003_KI: 0.054326154;C00091_KI: 0.025520761;C00322_KI: 0.083035164
59,WP_001265681.1,4.1.1.49,Escherichia coli,R60,Phosphoenolpyruvate carboxykinase (atp),R00341,MRL,C00002; C00036,C00008; C00011; C00074,Km_C00008: 0.087266445; Km_C00011: 5.647358418; Km_C00074: 2.1575; Km_C00002: 0.061518487; Km_C00036: 0.67,Kcat_F: 5.82892086; Kcat_R: 4.168236641,C00008;C00011;C00036;C00002;C00074,C00011_KI: 5.647358418;C00036_KI: 0.513840139;C00002_KI: 0.061518487;C00008_KI: 0.087266445;C00074_KI: 0.426584542
60,WP_000919159.1,2.1.2.1,Escherichia coli,R61,Glycine hydroxymethyltransferase,R00945,MRL,C00001; C00037; C00143,C00065; C00101,Km_C00065: 0.680456936; Km_C00101: 0.048434764; Km_C00001: 1.743806124; Km_C00037: 1.084210277; Km_C00143: 0.031294227,Kcat_F: 0.721411978; Kcat_R: 1.1328265275,C00037;C01217;C00101;C00065;C00001;C00143;C04377,C04377_KI: 0.032590855;C00101_KI: 0.048434764;C00143_KI: 0.031294227;C00037_KI: 1.084210277;C00065_KI: 0.680456936;C01217_KI: 0.029256012;C00001_KI: 1.743806124
62,WP_000066639.1,4.2.1.2,Escherichia coli,R63,Fumarate hydratase,R01082,MRL,C00149,C00001; C00122,Km_C00001: 6.656438828; Km_C00122: 0.910608768; Km_C00149: 1.7,Kcat_F: 55.60223539; Kcat_R: 2921.884996635,C00149;C00001;C00122,C00122_KI: 0.910608768;C00001_KI: 6.656438828;C00149_KI: 1.095330358
63,WP_000672380.1,6.1.1.20,Escherichia coli,R64,Phenylalanine-trna ligase,R03660,MRL,C00002; C00079; C01648,C00013; C00020; C03511,Km_C00013: 0.110224701; Km_C00020: 0.021949925; Km_C03511: 0.0410671938; Km_C00002: 0.027728623; Km_C00079: 0.04255772; Km_C01648: 0.002875,Kcat_F: 8.636955886666668; Kcat_R: 5.9763161745,C00013;C00020;C00079;C01648;C00002;C03511,C00002_KI: 0.027728623;C00013_KI: 0.110224701;C01648_KI: 0.05061524225;C03511_KI: 0.05061524225;C00020_KI: 0.021949925;C00079_KI: 0.04255772
64,WP_000069437.1,4.3.1.1,Escherichia coli,R65,Aspartate ammonia-lyase,R00490,MRL,C00049,C00014; C00122,Km_C00014: 12.20387268; Km_C00122: 0.828558326; Km_C00049: 1.195170283,Kcat_F: 138.3736857; Kcat_R: 10064.76036055,C00122;C00014;C00049,C00122_KI: 0.828558326;C00049_KI: 1.195170283;C00014_KI: 12.20387268
65,WP_001295373.1,2.8.1.7,Escherichia coli,R66,Cysteine desulfurase,R07460,MRL,C00097; C15811,C00041; C15812,Km_C00041: 1.053504229; Km_C15812: 0.010528521; Km_C00097: 0.083457783; Km_C15811: 0.017585905,Kcat_F: 30.001426185; Kcat_R: 36.793572795,C00097;C00041;C15812;C15811,C15811_KI: 0.017585905;C15812_KI: 0.010528521;C00097_KI: 0.083457783;C00041_KI: 1.053504229
66,WP_000043460.1,1.1.1.44,Escherichia coli,R67,"Phosphogluconate dehydrogenase (nadp+-dependent, decarboxylating)",R01528,MRL,C00006; C00345,C00005; C00011; C00080; C00199,Km_C00005: 0.01731511; Km_C00011: 0.468339205; Km_C00080: 1.165087342; Km_C00199: 0.077537887; Km_C00006: 0.049; Km_C00345: 0.093,Kcat_F: 10.118956026; Kcat_R: 16.041648803333334,C00006;C00345;C00011;C00005;C00199;C00002;C00080,C00345_KI: 0.038310379;C00080_KI: 1.165087342;C00006_KI: 0.029276192;C00011_KI: 0.468339205;C00005_KI: 0.01731511;C00002_KI: 0.02431757;C00199_KI: 0.077537887
67,WP_000462687.1,2.6.1.1,Escherichia coli,R68,Aspartate transaminase,R00355,MRL,C00026; C00049,C00025; C00036,Km_C00025: 2.310521364; Km_C00036: 0.19; Km_C00026: 0.59; Km_C00049: 1.757862926,Kcat_F: 1.267048558; Kcat_R: 1.277564804,C05527;C00957;C00025;C01179;C00082;C00097;C00166;C00079;C05946;C00026;C00036;C00302;C05528;C00506;C00049;C05947;C00606,C05946_KI: 0.856565714;C00079_KI: 0.573835731;C00025_KI: 2.310521364;C05527_KI: 0.679305136;C00166_KI: 0.214944422;C00097_KI: 0.263825059;C00506_KI: 1.337970138;C00026_KI: 0.759377718;C00606_KI: 1.276833773;C00082_KI: 0.365888625;C00049_KI: 1.757862926;C05947_KI: 0.695976257;C00036_KI: 0.293137431;C01179_KI: 0.146892369;C05528_KI: 0.4964104;C00957_KI: 0.907967806;C00302_KI: 2.310521364
75,WP_000886683.1,6.1.1.11,Escherichia coli,R76,Serine-trna ligase,R03662,MRL,C00002; C00065; C01650,C00013; C00020; C02553,Km_C00013: 0.00750173; Km_C00020: 0.001468161; Km_C02553: 0.0055857832000000005; Km_C00002: 0.001039614; Km_C00065: 0.017359411; Km_C01650: 0.00056,Kcat_F: 41.893331030000006; Kcat_R: 49.234747755,C06481;C00013;C16636;C00020;C02553;C00065;C01650;C00002,C06481_KI: 0.006093850600000001;C01650_KI: 0.006093850600000001;C00065_KI: 0.017359411;C00020_KI: 0.001468161;C02553_KI: 0.006093850600000001;C00002_KI: 0.001039614;C00013_KI: 0.00750173;C16636_KI: 0.003100337
77,WP_000527955.1,6.3.4.4,Escherichia coli,R78,Adenylosuccinate synthase,R01135,MRL,C00044; C00049; C00130,C00009; C00035; C03794,Km_C00009: 0.567217767; Km_C00035: 0.023658674; Km_C03794: 0.02244579; Km_C00044: 0.06050000000000001; Km_C00049: 0.175086781; Km_C00130: 0.04234285714285714,Kcat_F: 1.4762922436666666; Kcat_R: 1.039879132,C00130;C00035;C03794;C00044;C00049;C00009,C00049_KI: 0.175086781;C00044_KI: 0.031184724;C00009_KI: 0.567217767;C00130_KI: 0.024890967;C03794_KI: 0.02244579;C00035_KI: 0.023658674
78,WP_000506490.1,1.3.1.9,Escherichia coli,R79,Enoyl-[acyl-carrier-protein] reductase (nadh),R01403,MRL,C00003; C00173,C00004; C00080; C00693,Km_C00004: 0.01; Km_C00080: 2.896291494; Km_C00693: 0.9941391999999999; Km_C00003: 0.076126106; Km_C00173: 0.9941391999999999,Kcat_F: 1.488236809; Kcat_R: 0.832269092,C05745;C00003;C00173;C05223;C05748;C00693;C05752;C05758;C05754;C05763;C05755;C05764;C05749;C04246;C05760;C05751;C05761;C00004;C00080,C00173_KI: 1.0028810449999999;C00693_KI: 1.0028810449999999;C05764_KI: 1.0028810449999999;C05752_KI: 1.0028810449999999;C05763_KI: 1.0028810449999999;C05223_KI: 1.0028810449999999;C05754_KI: 1.0028810449999999;C05748_KI: 1.0028810449999999;C05761_KI: 1.0028810449999999;C05758_KI: 1.0028810449999999;C05751_KI: 1.0028810449999999;C05745_KI: 1.0028810449999999;C05755_KI: 1.0028810449999999;C05760_KI: 1.0028810449999999;C00080_KI: 2.896291494;C00004_KI: 0.036225535;C00003_KI: 0.076126106;C05749_KI: 1.0028810449999999;C04246_KI: 1.0028810449999999
86,WP_012767778.1,1.11.1.21,Escherichia coli,R87,Catalase-peroxidase,R00009,MRL,C00027,C00001; C00007,Km_C00001: 1.448194742; Km_C00007: 0.114121616; Km_C00027: 3.050466299,Kcat_F: 1232.352714; Kcat_R: 23.65764618,C00028;C00027;C00001;C00007;C00030,C00027_KI: 3.050466299;C00007_KI: 0.114121616;C00001_KI: 1.448194742;C00030_KI: 1.537594219;C00028_KI: 1.537594219
88,WP_001157886.1,6.1.1.4,Escherichia coli,R89,Leucine-trna ligase,R03657,MRL,C00002; C00123; C01645,C00013; C00020; C02047,Km_C00013: 0.073589049; Km_C00020: 0.062845066; Km_C02047: 1.0; Km_C00002: 0.054785959; Km_C00123: 0.017924244; Km_C01645: 1.034,Kcat_F: 2.157702088666667; Kcat_R: 2.53637798,C00013;C00020;C00123;C00002;C02047;C01645,C00002_KI: 0.054785959;C02047_KI: 0.0522860795;C00013_KI: 0.073589049;C01645_KI: 0.0522860795;C00020_KI: 0.062845066;C00123_KI: 0.017924244
89,WP_000136788.1,2.7.1.30,Escherichia coli,R90,Glycerol kinase,R00847,MRL,C00002; C00116,C00008; C00093,Km_C00008: 0.023433018; Km_C00093: 0.146136329; Km_C00002: 0.015506073; Km_C00116: 0.106406488,Kcat_F: 5.3466165625; Kcat_R: 5.8155024715,C00002;C00116;C00093;C00008,C00116_KI: 0.106406488;C00093_KI: 0.146136329;C00008_KI: 0.023433018;C00002_KI: 0.015506073
90,WP_001005579.1,4.1.1.31,Escherichia coli,R91,Phosphoenolpyruvate carboxylase,R00345,MRL,C00009; C00036,C00001; C00011; C00074,Km_C00001: 0.812425554; Km_C00011: 1.559197068; Km_C00074: 0.19; Km_C00009: 1.123651147; Km_C00036: 0.484438777,Kcat_F: 1.9991497465; Kcat_R: 182.13826616166668,C13563;C00008;C00011;C00001;C00036;C00149;C00158;C00044;C16433;C00002;C00049;C00009;C00074,C00074_KI: 0.505822182;C00008_KI: 0.061705783;C13563_KI: 0.7032153944545455;C00009_KI: 1.123651147;C00036_KI: 0.484438777;C00002_KI: 0.063583925;C00044_KI: 0.068974599;C00149_KI: 0.898081243;C00158_KI: 0.988170266;C00049_KI: 1.169318795;C16433_KI: 0.7032153944545455;C00001_KI: 0.812425554;C00011_KI: 1.559197068
91,WP_001291772.1,6.1.1.14,Escherichia coli,R92,Glycine-trna ligase,R03654,MRL,C00002; C00037; C01642,C00013; C00020; C02412,Km_C00013: 0.058370113; Km_C00020: 0.016059648; Km_C02412: 0.042143158199999996; Km_C00002: 0.017320372; Km_C00037: 0.109865658; Km_C01642: 0.0091,Kcat_F: 7.7915478485000005; Kcat_R: 6.477863011,C00037;C00013;C02412;C00020;C01642;C00002,C00020_KI: 0.016059648;C02412_KI: 0.05040394775;C00002_KI: 0.017320372;C00037_KI: 0.109865658;C00013_KI: 0.058370113;C01642_KI: 0.05040394775
92,WP_001186650.1,2.3.1.117,Escherichia coli,R93,"2,3,4,5-tetrahydropyridine-2,6-dicarboxylate n-succinyltransferase",R04365,MRL,C00001; C00091; C03972,C00010; C04462,Km_C00010: 0.177714095; Km_C04462: 0.304652005; Km_C00001: 2.012990713; Km_C00091: 0.020999999999999998; Km_C03972: 0.517685533,Kcat_F: 35.21180224966667; Kcat_R: 47.964201055,C03972;C00001;C04462;C00010;C00091,C04462_KI: 0.304652005;C00010_KI: 0.177714095;C03972_KI: 0.517685533;C00001_KI: 2.012990713;C00091_KI: 0.133486509
93,WP_000623136.1,2.7.3.9,Escherichia coli,R94,Phosphoenolpyruvate-protein phosphotransferase,R02628,MRL,C00074; C00615,C00022; C04261,Km_C00022: 0.363707393; Km_C04261: 0.2768536965; Km_C00074: 0.19; Km_C00615: 0.2768536965,Kcat_F: 0.213811689; Kcat_R: 1.430127998,C04261;C00074;C00022;C00615,C00074_KI: 0.137160346;C00615_KI: 0.2504338695;C04261_KI: 0.2504338695;C00022_KI: 0.363707393
94,WP_000195061.1,1.4.4.2,Escherichia coli,R95,Glycine dehydrogenase (aminomethyl-transferring),R03425,MRL,C00037; C02051,C00011; C01242,Km_C00011: 1.169795871; Km_C01242: 2.101050198; Km_C00037: 3.032304525; Km_C02051: 2.101050198,Kcat_F: 2.631662783; Kcat_R: 4.818350786,C00037;C01242;C00003;C00101;C00014;C00004;C00011;C00143;C02051;C00080,C00003_KI: 0.143204287;C01242_KI: 1.3873228035;C00004_KI: 0.05554235;C00101_KI: 0.104562275;C00037_KI: 3.032304525;C00011_KI: 1.169795871;C00080_KI: 1.926282167;C02051_KI: 1.3873228035;C00143_KI: 0.049179409;C00014_KI: 4.617711544
95,WP_000034372.1,4.1.2.13,Escherichia coli,R96,Fructose-bisphosphate aldolase,R01068,MRL,C00354,C00111; C00118,Km_C00111: 0.219039723; Km_C00118: 0.376360387; Km_C00354: 0.18,Kcat_F: 6.242500000000001; Kcat_R: 3.7595076315,C00577;C00345;C00111;C00354;C00279;C00447;C00118;C05378;C00284;C01094;C00074,C00284_KI: 0.102871358;C00577_KI: 1.749873877;C05378_KI: 0.103718825;C01094_KI: 0.699701726;C00447_KI: 0.078385606;C00111_KI: 0.219039723;C00354_KI: 0.103718825;C00279_KI: 0.159231856;C00345_KI: 0.085602023;C00118_KI: 0.376360387;C00074_KI: 0.096961871
