Accession Number,EC,Species,Label,Enzyme,Reaction ID,Mechanism,Substrates,Products,Km,Kcat,Inhibitors,KI
WP_000025458.1,6.2.1.5,Escherichia coli,,,,,,,,,,
WP_000069437.1,4.3.1.1,Escherichia coli,,,,,,,,,,
WP_001295373.1,2.8.1.7,Escherichia coli,,,,,,,,,,
WP_000043460.1,1.1.1.44,Escherichia coli,,,,,,,,,,
WP_000462687.1,2.6.1.1,Escherichia coli,,,,,,,,,,
WP_000886683.1,6.1.1.11,Escherichia coli,,,,,,,,,,
WP_000527955.1,6.3.4.4,Escherichia coli,,,,,,,,,,
WP_000506490.1,1.3.1.9,Escherichia coli,,,,,,,,,,
WP_012767778.1,1.11.1.21,Escherichia coli,,,,,,,,,,
WP_001258678.1,6.1.1.-,Escherichia coli,,,,,,,,,,
WP_001157886.1,6.1.1.4,Escherichia coli,,,,,,,,,,
WP_000136788.1,2.7.1.30,Escherichia coli,,,,,,,,,,
WP_001005579.1,4.1.1.31,Escherichia coli,,,,,,,,,,
WP_001291772.1,6.1.1.14,Escherichia coli,,,,,,,,,,
WP_001186650.1,2.3.1.117,Escherichia coli,,,,,,,,,,
WP_000623136.1,2.7.3.9,Escherichia coli,,,,,,,,,,
WP_000195061.1,1.4.4.2,Escherichia coli,,,,,,,,,,
WP_000190506.1,7.1.2.2,Escherichia coli,,,,,,,,,,
WP_000034372.1,4.1.2.13,Escherichia coli,,,,,,,,,,
WP_001220233.1,2.7.4.3,Escherichia coli,,,,,,,,,,
WP_001293341.1,3.4.25.2,Escherichia coli,,,,,,,,,,
WP_000210878.1,6.3.4.2,Escherichia coli,,,,,,,,,,
WP_000334099.1,2.6.1.16,Escherichia coli,,,,,,,,,,
WP_001062128.1,2.5.1.6,Escherichia coli,,,,,,,,,,
WP_001176745.1,7.1.2.2,Escherichia coli,,,,,,,,,,
WP_000695655.1,6.1.1.17,Escherichia coli,,,,,,,,,,
WP_001293003.1,3.4.13.18,Escherichia coli,,,,,,,,,,
WP_000091148.1,2.7.1.40,Escherichia coli,,,,,,,,,,
WP_000086722.1,2.3.1.8,Escherichia coli,,,,,,,,,,
WP_001295305.1,5.4.2.11,Escherichia coli,,,,,,,,,,
WP_000988027.1,3.2.1.22,Escherichia coli,,,,,,,,,,
WP_000416403.1,6.1.1.9,Escherichia coli,,,,,,,,,,
WP_001299507.1,1.1.1.205,Escherichia coli,,,,,,,,,,
WP_001295403.1,2.7.1.40,Escherichia coli,,,,,,,,,,
WP_001127419.1,4.2.1.9,Escherichia coli,,,,,,,,,,
WP_001144202.1,6.1.1.3,Escherichia coli,,,,,,,,,,
WP_000737621.1,7.4.2.1,Escherichia coli,,,,,,,,,,
WP_000018596.1,6.1.1.20,Escherichia coli,,,,,,,,,,
WP_000695387.1,7.5.2.1,Escherichia coli,,,,,,,,,,
WP_001295247.1,4.1.99.1,Escherichia coli,,,,,,,,,,
WP_000117881.1,6.1.1.22,Escherichia coli,,,,,,,,,,
WP_001107167.1,6.1.1.21,Escherichia coli,,,,,,,,,,
WP_001300978.1,6.1.1.10,Escherichia coli,,,,,,,,,,
WP_000884639.1,6.3.4.14,Escherichia coli,,,,,,,,,,
WP_001297114.1,7.4.2.-,Escherichia coli,,,,,,,,,,
WP_001301026.1,6.1.1.1,Escherichia coli,,,,,,,,,,
WP_000084387.1,1.11.1.-,Escherichia coli,,,,,,,,,,
WP_000597260.1,6.3.5.5,Escherichia coli,,,,,,,,,,
WP_001120798.1,1.6.1.1,Escherichia coli,,,,,,,,,,
WP_000817178.1,2.3.1.41,Escherichia coli,,,,,,,,,,
WP_001271717.1,6.3.1.2,Escherichia coli,,,,,,,,,,
WP_000138270.1,6.3.5.2,Escherichia coli,,,,,,,,,,
WP_001320168.1,3.2.1.93,Escherichia coli,,,,,,,,,,
WP_001295214.1,3.4.24.70,Escherichia coli,,,,,,,,,,
WP_000003071.1,6.1.1.6,Escherichia coli,,,,,,,,,,
WP_000963837.1,2.7.4.6,Escherichia coli,,,,,,,,,,
WP_000007283.1,1.15.1.1,Escherichia coli,,,,,,,,,,
WP_000342648.1,1.1.1.40,Escherichia coli,,,,,,,,,,
WP_001230087.1,4.3.2.1,Escherichia coli,,,,,,,,,,
WP_000078239.1,6.2.1.1,Escherichia coli,,,,,,,,,,
WP_001298109.1,2.7.6.1,Escherichia coli,,,,,,,,,,
WP_000522247.1,2.7.1.199,Escherichia coli,,,,,,,,,,
WP_001216325.1,5.3.1.1,Escherichia coli,,,,,,,,,,
WP_001295554.1,2.7.7.8,Escherichia coli,,,,,,,,,,
WP_000193841.1,3.4.11.2,Escherichia coli,,,,,,,,,,
WP_000537418.1,1.8.1.9,Escherichia coli,,,,,,,,,,
WP_000811065.1,2.5.1.55,Escherichia coli,,,,,,,,,,
WP_000207665.1,6.3.4.5,Escherichia coli,,,,,,,,,,
WP_001320171.1,5.4.2.2,Escherichia coli,,,,,,,,,,
WP_001287154.1,6.1.1.18,Escherichia coli,,,,,,,,,,
WP_000477227.1,5.2.1.8,Escherichia coli,,,,,,,,,,
WP_000843866.1,7.4.2.1,Escherichia coli,,,,,,,,,,
WP_001213837.1,2.3.1.29,Escherichia coli,,,,,,,,,,
WP_000057149.1,2.6.1.52,Escherichia coli,,,,,,,,,,
WP_000045290.1,5.4.3.8,Escherichia coli,,,,,,,,,,
WP_012767746.1,7.1.1.-,Escherichia coli,,,,,,,,,,
WP_000208515.1,2.6.1.42,Escherichia coli,,,,,,,,,,
WP_000068701.1,2.1.2.10,Escherichia coli,,,,,,,,,,
WP_000095707.1,2.7.2.1,Escherichia coli,,,,,,,,,,
WP_000055746.1,6.4.1.2,Escherichia coli,,,,,,,,,,
WP_000224879.1,2.4.2.1,Escherichia coli,,,,,,,,,,
WP_001021161.1,2.5.1.78,Escherichia coli,,,,,,,,,,
WP_000587764.1,5.1.3.20,Escherichia coli,,,,,,,,,,
WP_000444561.1,3.4.13.9,Escherichia coli,,,,,,,,,,
WP_000301720.1,1.1.1.49,Escherichia coli,,,,,,,,,,
WP_001297064.1,1.15.1.1,Escherichia coli,,,,,,,,,,
WP_001025322.1,6.1.1.19,Escherichia coli,,,,,,,,,,
WP_000351477.1,1.5.1.34,Escherichia coli,,,,,,,,,,
WP_000917208.1,1.16.3.2,Escherichia coli,,,,,,,,,,
WP_000284050.1,5.3.1.28,Escherichia coli,,,,,,,,,,
WP_000055072.1,3.6.1.1,Escherichia coli,,,,,,,,,,
WP_000191372.1,2.3.1.39,Escherichia coli,,,,,,,,,,
WP_000646014.1,1.1.1.103,Escherichia coli,,,,,,,,,,
WP_001295090.1,6.1.1.6,Escherichia coli,,,,,,,,,,
WP_000072067.1,5.6.2.2,Escherichia coli,,,,,,,,,,
WP_000844219.1,1.1.1.251,Escherichia coli,,,,,,,,,,
WP_000045178.1,2.4.2.3,Escherichia coli,,,,,,,,,,
WP_000227927.1,4.2.1.59,Escherichia coli,,,,,,,,,,
WP_000122253.1,3.4.21.92,Escherichia coli,,,,,,,,,,
WP_001295469.1,4.3.3.7,Escherichia coli,,,,,,,,,,
WP_000255997.1,5.2.1.8,Escherichia coli,,,,,,,,,,
WP_000133580.1,3.4.11.23,Escherichia coli,,,,,,,,,,
WP_001130211.1,4.4.1.21,Escherichia coli,,,,,,,,,,
WP_000130305.1,3.4.21.92,Escherichia coli,,,,,,,,,,
WP_000288146.1,2.3.1.180,Escherichia coli,,,,,,,,,,
WP_000165552.1,6.1.1.2,Escherichia coli,,,,,,,,,,
WP_000175052.1,6.3.1.5,Escherichia coli,,,,,,,,,,
WP_000753946.1,3.4.21.107,Escherichia coli,,,,,,,,,,
WP_000413677.1,6.3.2.4,Escherichia coli,,,,,,,,,,
WP_001018194.1,3.4.11.18,Escherichia coli,,,,,,,,,,
WP_000484965.1,3.1.13.1,Escherichia coli,,,,,,,,,,
WP_000799969.1,1.2.1.11,Escherichia coli,,,,,,,,,,
WP_000250006.1,2.7.7.7,Escherichia coli,,,,,,,,,,
WP_000818618.1,2.7.1.71,Escherichia coli,,,,,,,,,,
WP_000071134.1,5.4.2.10,Escherichia coli,,,,,,,,,,
WP_000551807.1,1.17.7.1,Escherichia coli,,,,,,,,,,
WP_001187559.1,2.1.2.3,Escherichia coli,,,,,,,,,,
WP_000211237.1,5.2.1.8,Escherichia coli,,,,,,,,,,
WP_001300904.1,4.1.1.19,Escherichia coli,,,,,,,,,,
WP_000800512.1,4.1.2.14,Escherichia coli,,,,,,,,,,
WP_000189743.1,5.3.1.6,Escherichia coli,,,,,,,,,,
WP_001168544.1,6.1.1.14,Escherichia coli,,,,,,,,,,
WP_001295286.1,2.6.1.87,Escherichia coli,,,,,,,,,,
WP_001300411.1,4.2.1.-,Escherichia coli,,,,,,,,,,
WP_000700894.1,5.3.1.25,Escherichia coli,,,,,,,,,,
WP_000912345.1,6.1.1.16,Escherichia coli,,,,,,,,,,
WP_000591795.1,2.7.1.11,Escherichia coli,,,,,,,,,,
WP_000423729.1,4.3.2.2,Escherichia coli,,,,,,,,,,
WP_000555849.1,3.5.1.10,Escherichia coli,,,,,,,,,,
WP_001300813.1,4.2.1.24,Escherichia coli,,,,,,,,,,
WP_000115936.1,1.2.1.-,Escherichia coli,,,,,,,,,,
WP_000135058.1,2.7.7.6,Escherichia coli,,,,,,,,,,
WP_000553451.1,3.1.3.25,Escherichia coli,,,,,,,,,,
WP_000857856.1,4.1.3.1,Escherichia coli,,,,,,,,,,
WP_001235264.1,1.3.5.1,Escherichia coli,,,,,,,,,,
WP_000861334.1,5.2.1.8,Escherichia coli,,,,,,,,,,
WP_001353848.1,5.1.3.-,Escherichia coli,,,,,,,,,,
WP_000162740.1,2.8.4.3,Escherichia coli,,,,,,,,,,
WP_000816480.1,5.4.2.7,Escherichia coli,,,,,,,,,,
WP_000699450.1,4.2.1.46,Escherichia coli,,,,,,,,,,
WP_001008532.1,1.1.1.100,Escherichia coli,,,,,,,,,,
WP_001301272.1,3.5.1.16,Escherichia coli,,,,,,,,,,
WP_000860273.1,1.1.1.305,Escherichia coli,,,,,,,,,,
WP_000759317.1,7.6.2.-,Escherichia coli,,,,,,,,,,
WP_000689844.1,3.2.2.16,Escherichia coli,,,,,,,,,,
WP_000807125.1,3.9.1.-,Escherichia coli,,,,,,,,,,
WP_000208242.1,3.4.25.2,Escherichia coli,,,,,,,,,,
WP_001012606.1,2.2.1.6,Escherichia coli,,,,,,,,,,
WP_001109196.1,2.5.1.54,Escherichia coli,,,,,,,,,,
WP_000189159.1,1.5.1.38,Escherichia coli,,,,,,,,,,
WP_000593273.1,6.3.2.3,Escherichia coli,,,,,,,,,,
WP_000636571.1,1.1.1.298,Escherichia coli,,,,,,,,,,
WP_000789500.1,1.6.5.9,Escherichia coli,,,,,,,,,,
WP_000779102.1,3.1.4.46,Escherichia coli,,,,,,,,,,
WP_001295473.1,2.4.2.9,Escherichia coli,,,,,,,,,,
WP_000099534.1,4.2.1.3,Escherichia coli,,,,,,,,,,
WP_000624298.1,4.3.1.17,Escherichia coli,,,,,,,,,,
WP_000905386.1,6.3.2.1,Escherichia coli,,,,,,,,,,
WP_000081903.1,2.4.1.1,Escherichia coli,,,,,,,,,,
WP_000683335.1,2.4.2.8,Escherichia coli,,,,,,,,,,
WP_000790168.1,3.6.5.n1,Escherichia coli,,,,,,,,,,
WP_001068682.1,1.11.1.24,Escherichia coli,,,,,,,,,,
WP_000177906.1,3.2.1.23,Escherichia coli,,,,,,,,,,
WP_000118404.1,6.4.1.2,Escherichia coli,,,,,,,,,,
WP_001303675.1,1.1.1.60,Escherichia coli,,,,,,,,,,
WP_000433476.1,1.1.1.38,Escherichia coli,,,,,,,,,,
WP_000357259.1,2.5.1.7,Escherichia coli,,,,,,,,,,
WP_001281254.1,5.6.2.2,Escherichia coli,,,,,,,,,,
WP_001338652.1,4.3.1.19,Escherichia coli,,,,,,,,,,
WP_001196611.1,3.6.4.-,Escherichia coli,,,,,,,,,,
WP_001300598.1,3.4.15.5,Escherichia coli,,,,,,,,,,
WP_001297122.1,5.6.2.1,Escherichia coli,,,,,,,,,,
WP_000611804.1,6.3.2.2,Escherichia coli,,,,,,,,,,
WP_000963792.1,2.6.1.11,Escherichia coli,,,,,,,,,,
WP_000160808.1,1.8.1.7,Escherichia coli,,,,,,,,,,
WP_000153940.1,2.1.1.14,Escherichia coli,,,,,,,,,,
WP_000176278.1,4.1.1.23,Escherichia coli,,,,,,,,,,
WP_000586449.1,5.3.1.16,Escherichia coli,,,,,,,,,,
WP_000920840.1,5.1.3.29,Escherichia coli,,,,,,,,,,
WP_000861734.1,2.3.1.-,Escherichia coli,,,,,,,,,,
WP_000224714.1,4.1.3.3,Escherichia coli,,,,,,,,,,
WP_000545042.1,1.6.5.9,Escherichia coli,,,,,,,,,,
WP_000896498.1,7.1.2.2,Escherichia coli,,,,,,,,,,
WP_000970117.1,6.3.5.3,Escherichia coli,,,,,,,,,,
WP_001290699.1,1.8.1.2,Escherichia coli,,,,,,,,,,
WP_001295467.1,6.3.2.6,Escherichia coli,,,,,,,,,,
WP_000871512.1,3.2.1.21,Escherichia coli,,,,,,,,,,
WP_000080085.1,3.1.3.15,Escherichia coli,,,,,,,,,,
WP_000114984.1,3.5.1.88,Escherichia coli,,,,,,,,,,
WP_000869178.1,2.7.1.167,Escherichia coli,,,,,,,,,,
WP_000789986.1,5.3.1.9,Escherichia coli,,,,,,,,,,
WP_000397144.1,3.4.11.1,Escherichia coli,,,,,,,,,,
WP_000853753.1,3.1.3.11,Escherichia coli,,,,,,,,,,
WP_000816280.1,5.1.3.1,Escherichia coli,,,,,,,,,,
WP_000127356.1,2.4.2.7,Escherichia coli,,,,,,,,,,
WP_000084590.1,4.98.1.1,Escherichia coli,,,,,,,,,,
WP_000089084.1,1.2.1.8,Escherichia coli,,,,,,,,,,
WP_000116565.1,5.4.2.12,Escherichia coli,,,,,,,,,,
WP_000853869.1,4.1.2.40,Escherichia coli,,,,,,,,,,
WP_000639996.1,4.1.3.36,Escherichia coli,,,,,,,,,,
WP_000332036.1,1.17.4.1,Escherichia coli,,,,,,,,,,
WP_001217335.1,1.7.1.7,Escherichia coli,,,,,,,,,,
WP_000893272.1,1.2.1.41,Escherichia coli,,,,,,,,,,
WP_000209826.1,1.5.1.41,Escherichia coli,,,,,,,,,,
WP_001291990.1,2.4.2.22,Escherichia coli,,,,,,,,,,
WP_000493947.1,2.5.1.9,Escherichia coli,,,,,,,,,,
WP_001058802.1,1.1.1.2,Escherichia coli,,,,,,,,,,
WP_001290123.1,3.4.11.9,Escherichia coli,,,,,,,,,,
WP_001151604.1,1.1.1.95,Escherichia coli,,,,,,,,,,
WP_001302318.1,2.7.2.8,Escherichia coli,,,,,,,,,,
WP_001109486.1,3.1.2.6,Escherichia coli,,,,,,,,,,
WP_001162160.1,3.4.24.-,Escherichia coli,,,,,,,,,,
WP_000866792.1,6.3.4.13,Escherichia coli,,,,,,,,,,
WP_000816234.1,2.1.1.45,Escherichia coli,,,,,,,,,,
WP_001170661.1,5.3.1.8,Escherichia coli,,,,,,,,,,
WP_000131757.1,2.4.2.17,Escherichia coli,,,,,,,,,,
WP_000673918.1,3.1.11.2,Escherichia coli,,,,,,,,,,
WP_000337081.1,6.3.5.4,Escherichia coli,,,,,,,,,,
WP_000219193.1,3.6.4.13,Escherichia coli,,,,,,,,,,
WP_000224573.1,2.7.4.22,Escherichia coli,,,,,,,,,,
WP_000818411.1,2.5.1.16,Escherichia coli,,,,,,,,,,
WP_000354622.1,6.4.1.2,Escherichia coli,,,,,,,,,,
WP_001288587.1,7.1.2.2,Escherichia coli,,,,,,,,,,
WP_000981380.1,3.1.21.3,Escherichia coli,,,,,,,,,,
WP_000998544.1,2.6.1.33,Escherichia coli,,,,,,,,,,
WP_000872833.1,1.5.3.2,Escherichia coli,,,,,,,,,,
WP_001298007.1,3.6.1.23,Escherichia coli,,,,,,,,,,
WP_000166449.1,1.20.4.1,Escherichia coli,,,,,,,,,,
WP_000055909.1,3.4.24.-,Escherichia coli,,,,,,,,,,
WP_000785116.1,6.3.2.13,Escherichia coli,,,,,,,,,,
WP_001284618.1,1.8.4.12,Escherichia coli,,,,,,,,,,
WP_000473109.1,2.8.1.1,Escherichia coli,,,,,,,,,,
WP_000442860.1,6.3.1.-,Escherichia coli,,,,,,,,,,
WP_000004655.1,5.2.1.8,Escherichia coli,,,,,,,,,,
WP_000197884.1,5.1.1.1,Escherichia coli,,,,,,,,,,
WP_001354020.1,2.5.1.61,Escherichia coli,,,,,,,,,,
WP_000765749.1,2.5.1.18,Escherichia coli,,,,,,,,,,
WP_000301651.1,1.1.1.1,Escherichia coli,,,,,,,,,,
WP_000941942.1,2.4.2.1,Escherichia coli,,,,,,,,,,
WP_000137657.1,4.1.1.37,Escherichia coli,,,,,,,,,,
WP_000397372.1,2.10.1.1,Escherichia coli,,,,,,,,,,
WP_001297412.1,2.6.99.2,Escherichia coli,,,,,,,,,,
WP_000781063.1,4.2.3.1,Escherichia coli,,,,,,,,,,
WP_000806177.1,2.4.2.10,Escherichia coli,,,,,,,,,,
WP_000857508.1,2.7.7.24,Escherichia coli,,,,,,,,,,
WP_001239440.1,7.1.1.-,Escherichia coli,,,,,,,,,,
WP_001319167.1,3.2.1.86,Escherichia coli,,,,,,,,,,
WP_012767740.1,1.1.1.23,Escherichia coli,,,,,,,,,,
WP_000796481.1,6.3.2.9,Escherichia coli,,,,,,,,,,
WP_000584546.1,6.3.2.12,Escherichia coli,,,,,,,,,,
WP_001166395.1,1.17.7.4,Escherichia coli,,,,,,,,,,
WP_001219792.1,6.3.2.45,Escherichia coli,,,,,,,,,,
WP_001295331.1,1.5.1.2,Escherichia coli,,,,,,,,,,
WP_001203392.1,3.1.3.-,Escherichia coli,,,,,,,,,,
WP_001100801.1,5.1.3.13,Escherichia coli,,,,,,,,,,
WP_001295412.1,4.1.2.4,Escherichia coli,,,,,,,,,,
WP_001043882.1,1.8.4.14,Escherichia coli,,,,,,,,,,
WP_000072420.1,1.6.5.10,Escherichia coli,,,,,,,,,,
WP_000935370.1,1.2.1.38,Escherichia coli,,,,,,,,,,
WP_000626688.1,6.3.2.10,Escherichia coli,,,,,,,,,,
WP_001107467.1,3.4.24.-,Escherichia coli,,,,,,,,,,
WP_001251965.1,7.1.2.2,Escherichia coli,,,,,,,,,,
WP_012767721.1,3.6.1.-,Escherichia coli,,,,,,,,,,
WP_000955917.1,2.7.3.9,Escherichia coli,,,,,,,,,,
WP_000486988.1,2.6.1.57,Escherichia coli,,,,,,,,,,
WP_000715216.1,5.3.4.1,Escherichia coli,,,,,,,,,,
WP_000042632.1,2.8.1.8,Escherichia coli,,,,,,,,,,
WP_001175605.1,4.2.1.126,Escherichia coli,,,,,,,,,,
WP_001257000.1,2.7.4.9,Escherichia coli,,,,,,,,,,
WP_000013046.1,2.1.3.2,Escherichia coli,,,,,,,,,,
WP_000568432.1,3.4.19.5,Escherichia coli,,,,,,,,,,
WP_000985549.1,3.1.3.23,Escherichia coli,,,,,,,,,,
WP_001207520.1,3.2.2.3,Escherichia coli,,,,,,,,,,
WP_001174737.1,3.6.1.66,Escherichia coli,,,,,,,,,,
WP_001289167.1,1.2.1.11,Escherichia coli,,,,,,,,,,
WP_000827411.1,3.1.26.12,Escherichia coli,,,,,,,,,,
WP_001076997.1,4.1.99.12,Escherichia coli,,,,,,,,,,
WP_000312488.1,3.4.24.-,Escherichia coli,,,,,,,,,,
WP_000940019.1,2.1.1.200,Escherichia coli,,,,,,,,,,
WP_001139613.1,3.5.4.16,Escherichia coli,,,,,,,,,,
WP_000842100.1,1.1.1.284,Escherichia coli,,,,,,,,,,
WP_001063206.1,3.1.21.3,Escherichia coli,,,,,,,,,,
WP_000148581.1,2.1.3.2,Escherichia coli,,,,,,,,,,
WP_000621515.1,4.1.1.11,Escherichia coli,,,,,,,,,,
WP_000762229.1,1.1.1.28,Escherichia coli,,,,,,,,,,
WP_001247089.1,2.7.7.56,Escherichia coli,,,,,,,,,,
WP_001341577.1,1.6.5.9,Escherichia coli,,,,,,,,,,
WP_000105579.1,3.5.3.11,Escherichia coli,,,,,,,,,,
WP_000283664.1,3.1.3.-,Escherichia coli,,,,,,,,,,
WP_001234777.1,3.5.4.13,Escherichia coli,,,,,,,,,,
WP_000997403.1,2.1.1.-,Escherichia coli,,,,,,,,,,
WP_000183060.1,2.7.7.9,Escherichia coli,,,,,,,,,,
WP_000187778.1,1.17.4.2,Escherichia coli,,,,,,,,,,
WP_001090386.1,2.7.7.4,Escherichia coli,,,,,,,,,,
WP_001124935.1,3.1.11.6,Escherichia coli,,,,,,,,,,
WP_000809262.1,2.1.1.198,Escherichia coli,,,,,,,,,,
WP_000886900.1,3.1.3.7,Escherichia coli,,,,,,,,,,
WP_000626410.1,4.3.1.17,Escherichia coli,,,,,,,,,,
WP_000786911.1,2.1.1.33,Escherichia coli,,,,,,,,,,
WP_000011603.1,2.7.7.38,Escherichia coli,,,,,,,,,,
WP_000049367.1,2.8.4.4,Escherichia coli,,,,,,,,,,
WP_001045520.1,2.1.1.186,Escherichia coli,,,,,,,,,,
WP_000089698.1,5.4.99.25,Escherichia coli,,,,,,,,,,
WP_001096048.1,6.3.2.8,Escherichia coli,,,,,,,,,,
WP_001139294.1,2.3.1.191,Escherichia coli,,,,,,,,,,
WP_000130048.1,6.3.2.4,Escherichia coli,,,,,,,,,,
WP_001044366.1,3.1.3.10,Escherichia coli,,,,,,,,,,
WP_001016666.1,1.3.1.98,Escherichia coli,,,,,,,,,,
WP_000621336.1,3.1.-.-,Escherichia coli,,,,,,,,,,
WP_000152933.1,3.1.1.29,Escherichia coli,,,,,,,,,,
WP_001297933.1,4.2.3.5,Escherichia coli,,,,,,,,,,
WP_001266908.1,1.4.99.-,Escherichia coli,,,,,,,,,,
WP_000108921.1,2.6.1.9,Escherichia coli,,,,,,,,,,
WP_000068457.1,5.1.99.7,Escherichia coli,,,,,,,,,,
WP_000126543.1,3.5.2.3,Escherichia coli,,,,,,,,,,
WP_001140251.1,5.2.1.8,Escherichia coli,,,,,,,,,,
WP_000096674.1,2.7.1.35,Escherichia coli,,,,,,,,,,
WP_000030016.1,3.1.3.45,Escherichia coli,,,,,,,,,,
WP_000424181.1,4.2.3.3,Escherichia coli,,,,,,,,,,
WP_000153129.1,3.1.3.5,Escherichia coli,,,,,,,,,,
WP_000108330.1,2.7.1.12,Escherichia coli,,,,,,,,,,
WP_000543586.1,1.17.1.8,Escherichia coli,,,,,,,,,,
WP_000445249.1,2.5.1.19,Escherichia coli,,,,,,,,,,
WP_000675504.1,1.16.3.1,Escherichia coli,,,,,,,,,,
WP_001295704.1,2.1.1.298,Escherichia coli,,,,,,,,,,
WP_000880195.1,4.3.2.10,Escherichia coli,,,,,,,,,,
WP_000039863.1,1.8.4.8,Escherichia coli,,,,,,,,,,
WP_000805449.1,2.1.2.11,Escherichia coli,,,,,,,,,,
WP_001285288.1,2.7.2.11,Escherichia coli,,,,,,,,,,
WP_001293282.1,2.1.1.185,Escherichia coli,,,,,,,,,,
WP_000116297.1,2.1.1.191,Escherichia coli,,,,,,,,,,
WP_001135174.1,2.4.2.19,Escherichia coli,,,,,,,,,,
WP_001272330.1,2.1.1.172,Escherichia coli,,,,,,,,,,
WP_000030740.1,2.7.7.38,Escherichia coli,,,,,,,,,,
WP_000942344.1,5.4.2.11,Escherichia coli,,,,,,,,,,
WP_000460360.1,3.6.5.-,Escherichia coli,,,,,,,,,,
WP_000444361.1,2.4.1.25,Escherichia coli,,,,,,,,,,
WP_000227950.1,2.1.1.163,Escherichia coli,,,,,,,,,,
WP_000517428.1,1.-.-.-,Escherichia coli,,,,,,,,,,
WP_001047336.1,2.5.1.90,Escherichia coli,,,,,,,,,,
WP_000951213.1,2.8.1.6,Escherichia coli,,,,,,,,,,
WP_000443530.1,1.1.1.-,Escherichia coli,,,,,,,,,,
WP_001023616.1,1.1.1.133,Escherichia coli,,,,,,,,,,
WP_000444929.1,3.5.1.-,Escherichia coli,,,,,,,,,,
WP_000983255.1,2.2.1.6,Escherichia coli,,,,,,,,,,
WP_000932839.1,2.1.1.170,Escherichia coli,,,,,,,,,,
WP_000589409.1,3.1.4.16,Escherichia coli,,,,,,,,,,
WP_001092082.1,3.4.16.4,Escherichia coli,,,,,,,,,,
WP_000110749.1,1.1.1.3,Escherichia coli,,,,,,,,,,
WP_000173474.1,2.1.2.-,Escherichia coli,,,,,,,,,,
WP_001295474.1,6.3.3.1,Escherichia coli,,,,,,,,,,
WP_000211907.1,1.8.1.2,Escherichia coli,,,,,,,,,,
WP_000673464.1,2.7.7.7,Escherichia coli,,,,,,,,,,
WP_001295461.1,2.5.1.47,Escherichia coli,,,,,,,,,,
WP_001181706.1,2.2.1.6,Escherichia coli,,,,,,,,,,
WP_001118446.1,1.8.4.-,Escherichia coli,,,,,,,,,,
WP_001192973.1,1.3.5.1,Escherichia coli,,,,,,,,,,
WP_001157407.1,2.8.1.-,Escherichia coli,,,,,,,,,,
WP_001060244.1,3.2.2.4,Escherichia coli,,,,,,,,,,
WP_001213584.1,3.1.3.104,Escherichia coli,,,,,,,,,,
WP_000785834.1,2.3.3.8,Escherichia coli,,,,,,,,,,
WP_000444487.1,1.1.1.42,Escherichia coli,,,,,,,,,,
