Accession Number,EC,Species,Label,Enzyme,Reaction ID,Substrates,Products,Km,Kcat
WP_000653944.1,2.7.7.6,,R15,Dna-directed rna polymerase,R00444,C00201,C00013; C00046,Km_C00013: 0.0992806404829025; Km_C00046: nan; Km_C00201: nan,Kcat_F: nan; Kcat_R: 0.0031809519978795
WP_000653944.1,2.7.7.6,,R16,Dna-directed rna polymerase,R00435,C00002,C00013; C00046,Km_C00013: 0.0992806404829025; Km_C00046: nan; Km_C00002: 0.0341118164360523,Kcat_F: 0.0918674402620869; Kcat_R: 0.0031809519978795
WP_000653944.1,2.7.7.6,,R17,Dna-directed rna polymerase,R00441,C00044,C00013; C00046,Km_C00013: 0.0992806404829025; Km_C00046: nan; Km_C00044: 0.0511980801820755,Kcat_F: 0.0577363968134691; Kcat_R: 0.0031809519978795
WP_000653944.1,2.7.7.6,,R18,Dna-directed rna polymerase,R00442,C00063,C00013; C00046,Km_C00013: 0.0992806404829025; Km_C00046: nan; Km_C00063: 0.0537238083779811,Kcat_F: 0.0578574521193696; Kcat_R: 0.0031809519978795
WP_000653944.1,2.7.7.6,,R19,Dna-directed rna polymerase,R00443,C00075,C00013; C00046,Km_C00013: 0.0992806404829025; Km_C00046: nan; Km_C00075: 0.1102271378040313,Kcat_F: 0.0499242719984405; Kcat_R: 0.0031809519978795
WP_000153502.1,1.2.1.12,,R20,Glyceraldehyde-3-phosphate dehydrogenase (phosphorylating),R01061,C00003; C00009; C00118,C00004; C00080; C00236,Km_C00004: 0.0288031026721; Km_C00080: 2.130417585372925; Km_C00236: 0.0634163692593574; Km_C00003: 0.0711627677083015; Km_C00009: 1.3984436988830566; Km_C00118: 0.3554740250110626,Kcat_F: 9.585562448909117; Kcat_R: 13.156970525279434
WP_000003829.1,1.2.4.1,,R21,Pyruvate dehydrogenase (acetyl-transferring),R01699,C00022; C15972,C00011; C16255,Km_C00011: 0.4132097065448761; Km_C16255: 0.3021650314331054; Km_C00022: 0.38795; Km_C15972: 0.0140589158982038,Kcat_F: 21.31311720445003; Kcat_R: 3.5914396455661195
WP_000003829.1,1.2.4.1,,R22,Pyruvate dehydrogenase (acetyl-transferring),R00014,C00022; C00068,C00011; C05125,Km_C00011: 0.4132097065448761; Km_C05125: 0.0084220375865697; Km_C00022: 0.38795; Km_C00068: 0.00158,Kcat_F: 20.80521994807132; Kcat_R: 3.9121252725690203
WP_000003829.1,1.2.4.1,,R23,Pyruvate dehydrogenase (acetyl-transferring),R00209,C00003; C00010; C00022,C00004; C00011; C00024; C00080,Km_C00004: 0.02965634688735; Km_C00011: 0.4132097065448761; Km_C00024: 0.0366036668419837; Km_C00080: 0.3078936636447906; Km_C00003: 0.0645329356193542; Km_C00010: 0.040530938655138; Km_C00022: 0.38795,Kcat_F: 15.722195232547165; Kcat_R: 4.450131197377708
WP_000003829.1,1.2.4.1,,R24,Pyruvate dehydrogenase (acetyl-transferring),R03270,C05125; C15972,C00068; C16255,Km_C00068: 0.00158; Km_C16255: 0.3021650314331054; Km_C05125: 0.0084220375865697; Km_C15972: 0.0140589158982038,Kcat_F: 3.9213992213760256; Kcat_R: 3.092816337994412
WP_001198386.1,5.2.1.8,,R25,Peptidylprolyl isomerase,R04273,C03798,C03633,Km_C03633: nan; Km_C03798: nan,Kcat_F: nan; Kcat_R: nan
WP_001126376.1,6.3.5.5,,R26,Carbamoyl-phosphate synthase (glutamine-hydrolysing),R00256,C00001; C00064,C00014; C00025,Km_C00014: 2.051671028137207; Km_C00025: 0.9951287508010864; Km_C00001: 0.8124236464500427; Km_C00064: 0.4618737995624542,Kcat_F: 5.671478203180347; Kcat_R: 9.334795603903348
WP_001126376.1,6.3.5.5,,R27,Carbamoyl-phosphate synthase (glutamine-hydrolysing),R00575,C00001; C00002; C00064; C00288,C00008; C00009; C00025; C00169,Km_C00008: 0.0553221218287944; Km_C00009: 1.3655771017074585; Km_C00025: 0.9951287508010864; Km_C00169: 0.3458380401134491; Km_C00001: 0.8124236464500427; Km_C00002: 0.0672368705272674; Km_C00064: 0.4618737995624542; Km_C00288: 1.4766666666666666,Kcat_F: 4.780894869857223; Kcat_R: 5.177480616800467
WP_001126376.1,6.3.5.5,,R28,Carbamoyl-phosphate synthase (glutamine-hydrolysing),R07641,C00002; C00014; C00288,C00008; C00009; C00169,Km_C00008: 0.0553221218287944; Km_C00009: 1.3655771017074585; Km_C00169: 0.3458380401134491; Km_C00002: 0.0672368705272674; Km_C00014: 2.051671028137207; Km_C00288: 1.4766666666666666,Kcat_F: 6.907218447302774; Kcat_R: 4.993787842745097
WP_000102485.1,1.8.1.4,,R29,Dihydrolipoyl dehydrogenase,R08550,C00003; C16832,C00004; C00080; C16237,Km_C00004: 0.0213936530053615; Km_C00080: 0.2250488549470901; Km_C16237: 0.0637666806578636; Km_C00003: 0.0897657573223114; Km_C16832: 0.1182290390133857,Kcat_F: 82.21505556425603; Kcat_R: 162.92525354566249
WP_000102485.1,1.8.1.4,,R30,Dihydrolipoyl dehydrogenase,R03815,C00003; C02972,C00004; C00080; C02051,Km_C00004: 0.0213936530053615; Km_C00080: 0.2250488549470901; Km_C02051: nan; Km_C00003: 0.0897657573223114; Km_C02972: nan,Kcat_F: 117.91623043542522; Kcat_R: 278.58080721815406
WP_000102485.1,1.8.1.4,,R31,Dihydrolipoyl dehydrogenase,R07618,C00003; C15973,C00004; C00080; C15972,Km_C00004: 0.0213936530053615; Km_C00080: 0.2250488549470901; Km_C15972: 0.056440994143486; Km_C00003: 0.0897657573223114; Km_C15973: 0.0702609121799469,Kcat_F: 78.44120521614806; Kcat_R: 212.98970041622562
WP_000102485.1,1.8.1.4,,R32,Dihydrolipoyl dehydrogenase,R00209,C00003; C00010; C00022,C00004; C00011; C00024; C00080,Km_C00004: 0.0213936530053615; Km_C00011: 0.5557875633239746; Km_C00024: 0.0261338166892528; Km_C00080: 0.2250488549470901; Km_C00003: 0.0897657573223114; Km_C00010: 0.0302705187350511; Km_C00022: 0.3933333333333333,Kcat_F: 231.67734093260447; Kcat_R: 276.38021813845035
WP_000102485.1,1.8.1.4,,R33,Dihydrolipoyl dehydrogenase,R01221,C00003; C00037; C00101,C00004; C00011; C00014; C00080; C00143,Km_C00004: 0.0213936530053615; Km_C00011: 0.5557875633239746; Km_C00014: 0.6738513708114624; Km_C00080: 0.2250488549470901; Km_C00143: 0.0198761150240898; Km_C00003: 0.0897657573223114; Km_C00037: 0.6780760884284973; Km_C00101: 0.0281630456447601,Kcat_F: 97.07549721904559; Kcat_R: 292.69991131120554
WP_000102485.1,1.8.1.4,,R34,Dihydrolipoyl dehydrogenase,R01698,C00003; C00579,C00004; C00080; C00248,Km_C00004: 0.0213936530053615; Km_C00080: 0.2250488549470901; Km_C00248: 0.4152377247810364; Km_C00003: 0.0897657573223114; Km_C00579: 0.12833333333333335,Kcat_F: 163.37561237150462; Kcat_R: 280.42326642097885
WP_000102485.1,1.8.1.4,,R35,Dihydrolipoyl dehydrogenase,R01933,C00003; C00010; C00322,C00004; C00011; C00080; C00527,Km_C00004: 0.0213936530053615; Km_C00011: 0.5557875633239746; Km_C00080: 0.2250488549470901; Km_C00527: 0.0202776081860065; Km_C00003: 0.0897657573223114; Km_C00010: 0.0302705187350511; Km_C00322: 0.1169382780790329,Kcat_F: 236.2117050705332; Kcat_R: 267.36655714230545
WP_000102485.1,1.8.1.4,,R36,Dihydrolipoyl dehydrogenase,R08549,C00003; C00010; C00026,C00004; C00011; C00080; C00091,Km_C00004: 0.0213936530053615; Km_C00011: 0.5557875633239746; Km_C00080: 0.2250488549470901; Km_C00091: 0.0204137731343507; Km_C00003: 0.0897657573223114; Km_C00010: 0.0302705187350511; Km_C00026: 0.1621068120002746,Kcat_F: 255.59684769993808; Kcat_R: 266.9115565597776
WP_001048602.1,6.2.1.5,,R37,Succinate-coa ligase (adp-forming),R00405,C00002; C00010; C00042,C00008; C00009; C00091,Km_C00008: 0.0459712520241737; Km_C00009: 1.4238581657409668; Km_C00091: 0.0468568578362464; Km_C00002: 0.0591078847646713; Km_C00010: 4.0; Km_C00042: 0.25,Kcat_F: 37.55658575365964; Kcat_R: 30.505424929207752
WP_001048602.1,6.2.1.5,,R38,Succinate-coa ligase (adp-forming),R02404,C00002; C00010; C00490,C00008; C00009; C00531,Km_C00008: 0.0459712520241737; Km_C00009: 1.4238581657409668; Km_C00531: 0.0494820177555084; Km_C00002: 0.0591078847646713; Km_C00010: 4.0; Km_C00490: 1.75,Kcat_F: 22.71325242032631; Kcat_R: 31.08043846908234
WP_000111269.1,2.7.2.3,,R39,Phosphoglycerate kinase,R01512,C00002; C00197,C00008; C00236,Km_C00008: 0.0986274480819702; Km_C00236: 0.1865074932575225; Km_C00002: 0.0990124642848968; Km_C00197: 0.717952311038971,Kcat_F: 46.065375723118834; Kcat_R: 21.028835974217486
WP_000047185.1,6.1.1.7,,R40,Alanine-trna ligase,R03038,C00002; C00041; C01635,C00013; C00020; C00886,Km_C00013: 0.0724132433533668; Km_C00020: 0.0229113940149545; Km_C00886: nan; Km_C00002: 0.0255304928869009; Km_C00041: 0.2307663410902023; Km_C01635: 0.0017499999999999998,Kcat_F: 1.5170669511227155; Kcat_R: 1.5705551023180284
WP_000036723.1,4.2.1.11,,R41,Phosphopyruvate hydratase,R00658,C00631,C00001; C00074,Km_C00001: 5.651566505432129; Km_C00074: 0.4539581835269928; Km_C00631: 0.8422031402587891,Kcat_F: 9.2478538917483; Kcat_R: 7.796041839106191
WP_000036723.1,4.2.1.11,,R42,Phosphopyruvate hydratase,R04206,C03356,C00001; C04309,Km_C00001: 5.651566505432129; Km_C04309: 0.4538918137550354; Km_C03356: 0.4395691156387329,Kcat_F: 4.081638296034895; Kcat_R: 4.039749617116323
WP_000098614.1,2.2.1.1,,R43,Transketolase,R01641,C00118; C05382,C00117; C00231,Km_C00117: 1.4; Km_C00231: 0.16; Km_C00118: 0.1898997575044632; Km_C05382: 4.0,Kcat_F: 6.521449158004232; Kcat_R: 5.866081312318437
WP_000098614.1,2.2.1.1,,R44,Transketolase,R01067,C00085; C00118,C00231; C00279,Km_C00231: 0.16; Km_C00279: 0.09; Km_C00085: 1.1; Km_C00118: 0.1898997575044632,Kcat_F: 6.662656223197727; Kcat_R: 6.459872708451499
WP_000098614.1,2.2.1.1,,R45,Transketolase,R01830,C00118; C05345,C00231; C00279,Km_C00231: 0.16; Km_C00279: 0.09; Km_C00118: 0.1898997575044632; Km_C05345: 0.5566084384918213,Kcat_F: 6.662656223197727; Kcat_R: 6.459872708451499
WP_000098614.1,2.2.1.1,,R46,Transketolase,R06590,C00117; C12214,C05382; C12215,Km_C05382: 4.0; Km_C12215: 0.3996856808662414; Km_C00117: 1.4; Km_C12214: 0.4451175034046173,Kcat_F: 5.002509516952022; Kcat_R: 5.17271283178242
WP_000098614.1,2.2.1.1,,R47,Transketolase,R06861,C00068; C00231,C00118; C13378,Km_C00118: 0.1898997575044632; Km_C13378: nan; Km_C00068: 0.0380012691020965; Km_C00231: 0.16,Kcat_F: 5.4421156073466594; Kcat_R: 7.597125547218056
WP_000098614.1,2.2.1.1,,R48,Transketolase,R06863,C00068; C05382,C00117; C13378,Km_C00117: 1.4; Km_C13378: nan; Km_C00068: 0.0380012691020965; Km_C05382: 4.0,Kcat_F: 5.279569429710948; Kcat_R: 5.961297500575045
WP_000963518.1,2.3.1.12,,R49,Dihydrolipoyllysine-residue acetyltransferase,R02569,C00024; C15973,C00010; C16255,Km_C00010: 0.0315863750874996; Km_C16255: 0.185165449976921; Km_C00024: 0.0260320734232664; Km_C15973: 0.0132595719769597,Kcat_F: 17.82802127302065; Kcat_R: 22.70772977236243
WP_000963518.1,2.3.1.12,,R50,Dihydrolipoyllysine-residue acetyltransferase,R00209,C00003; C00010; C00022,C00004; C00011; C00024; C00080,Km_C00004: 0.0232088956981897; Km_C00011: 0.2801836133003235; Km_C00024: 0.0260320734232664; Km_C00080: 0.2213108241558075; Km_C00003: 0.0262350346893072; Km_C00010: 0.0315863750874996; Km_C00022: 0.168190985918045,Kcat_F: 26.416886087432033; Kcat_R: 29.57113491669487
WP_000024939.1,1.1.1.86,,R51,Ketol-acid reductoisomerase (nadp+),R04439,C00006; C04272,C00005; C00080; C06010,Km_C00005: 0.009843333333333334; Km_C00080: 4.059542179107666; Km_C06010: 0.7115602493286133; Km_C00006: 0.030275; Km_C04272: 0.8690137267112732,Kcat_F: 0.3155061858543377; Kcat_R: 0.4665713678793815
WP_000024939.1,1.1.1.86,,R52,Ketol-acid reductoisomerase (nadp+),R03051,C00005; C00080; C00900,C00006; C04039,Km_C00006: 0.030275; Km_C04039: 0.8690137267112732; Km_C00005: 0.009843333333333334; Km_C00080: 4.059542179107666; Km_C00900: 0.002,Kcat_F: 0.4665713678793815; Kcat_R: 0.0022517500000000003
WP_000024939.1,1.1.1.86,,R53,Ketol-acid reductoisomerase (nadp+),R04440,C00006; C04272,C00005; C00080; C04181,Km_C00005: 0.009843333333333334; Km_C00080: 4.059542179107666; Km_C04181: 0.26; Km_C00006: 0.030275; Km_C04272: 0.8690137267112732,Kcat_F: 0.3155061858543377; Kcat_R: 1.61
WP_000024939.1,1.1.1.86,,R54,Ketol-acid reductoisomerase (nadp+),R05068,C00006; C06007,C00005; C00080; C14463,Km_C00005: 0.009843333333333334; Km_C00080: 4.059542179107666; Km_C14463: nan; Km_C00006: 0.030275; Km_C06007: 1.3871761560440063,Kcat_F: 0.722210649963836; Kcat_R: 0.12
WP_000024939.1,1.1.1.86,,R55,Ketol-acid reductoisomerase (nadp+),R05069,C06006,C14463,Km_C14463: nan; Km_C06006: 0.7837384939193726,Kcat_F: 1.4882368088148543; Kcat_R: nan
WP_000024939.1,1.1.1.86,,R56,Ketol-acid reductoisomerase (nadp+),R05071,C06010,C04181,Km_C04181: 0.26; Km_C06010: 0.7115602493286133,Kcat_F: 0.8131427357587631; Kcat_R: 3.1
WP_000034402.1,2.5.1.47,,R57,Cysteine synthase,R00897,C00283; C00979,C00033; C00097,Km_C00033: 1.0324126482009888; Km_C00097: 0.1384832710027694; Km_C00283: 0.0095; Km_C00979: 10.233333333333333,Kcat_F: 789.4627056331814; Kcat_R: 214.05936866559182
WP_000034402.1,2.5.1.47,,R58,Cysteine synthase,R03132,C00320; C00979,C00033; C05824,Km_C00033: 1.0324126482009888; Km_C05824: 0.6971086859703064; Km_C00320: 0.3871120810508728; Km_C00979: 10.233333333333333,Kcat_F: 27.29395674074523; Kcat_R: 156.51705452902735
WP_000034402.1,2.5.1.47,,R59,Cysteine synthase,R03601,C00979; C01528,C00033; C05688,Km_C00033: 1.0324126482009888; Km_C05688: 0.6859937310218811; Km_C00979: 10.233333333333333; Km_C01528: 0.029111860319972,Kcat_F: 29.52101377192755; Kcat_R: 121.24083833037912
WP_000034402.1,2.5.1.47,,R60,Cysteine synthase,R04859,C00080; C00320; C00342; C00979,C00033; C00094; C00097; C00343,Km_C00033: 1.0324126482009888; Km_C00094: 0.5759783387184143; Km_C00097: 0.1384832710027694; Km_C00343: nan; Km_C00080: 0.5551935434341431; Km_C00320: 0.3871120810508728; Km_C00342: nan; Km_C00979: 10.233333333333333,Kcat_F: 27.29395674074523; Kcat_R: 164.43284370229765
WP_001295272.1,1.1.1.37,,R61,Malate dehydrogenase,R00342,C00003; C00149,C00004; C00036; C00080,Km_C00004: 0.061; Km_C00036: 0.0445; Km_C00080: 1.627506971359253; Km_C00003: 0.1052800193428993; Km_C00149: 2.6,Kcat_F: 3.0071600058103054; Kcat_R: 467.47981156795214
WP_001162094.1,2.7.7.6,,R62,Dna-directed rna polymerase,R00444,C00201,C00013; C00046,Km_C00013: 0.0992806404829025; Km_C00046: nan; Km_C00201: nan,Kcat_F: nan; Kcat_R: 0.0031809519978795
WP_001162094.1,2.7.7.6,,R63,Dna-directed rna polymerase,R00435,C00002,C00013; C00046,Km_C00013: 0.0992806404829025; Km_C00046: nan; Km_C00002: 0.0341118164360523,Kcat_F: 0.0918674402620869; Kcat_R: 0.0031809519978795
WP_001162094.1,2.7.7.6,,R64,Dna-directed rna polymerase,R00441,C00044,C00013; C00046,Km_C00013: 0.0992806404829025; Km_C00046: nan; Km_C00044: 0.0511980801820755,Kcat_F: 0.0577363968134691; Kcat_R: 0.0031809519978795
WP_001162094.1,2.7.7.6,,R65,Dna-directed rna polymerase,R00442,C00063,C00013; C00046,Km_C00013: 0.0992806404829025; Km_C00046: nan; Km_C00063: 0.0537238083779811,Kcat_F: 0.0578574521193696; Kcat_R: 0.0031809519978795
WP_001162094.1,2.7.7.6,,R66,Dna-directed rna polymerase,R00443,C00075,C00013; C00046,Km_C00013: 0.0992806404829025; Km_C00046: nan; Km_C00075: 0.1102271378040313,Kcat_F: 0.0499242719984405; Kcat_R: 0.0031809519978795
WP_000130189.1,2.2.1.2,,R67,Transaldolase,R08575,C00118; C05382,C00085; C00279,Km_C00085: 0.5244526267051697; Km_C00279: 0.1975; Km_C00118: 0.3719812929630279; Km_C05382: 0.285,Kcat_F: 8.522153938775823; Kcat_R: 8.35166603226876
WP_000130189.1,2.2.1.2,,R68,Transaldolase,R01827,C00118; C05382,C00279; C05345,Km_C00279: 0.1975; Km_C05345: 1.0699999999999998; Km_C00118: 0.3719812929630279; Km_C05382: 0.285,Kcat_F: 8.522153938775823; Kcat_R: 7.961376396124939
WP_001260712.1,6.1.1.15,,R69,Proline-trna ligase,R03661,C00002; C00148; C01649,C00013; C00020; C02702,Km_C00013: 0.2230684161186218; Km_C00020: 0.0650342181324958; Km_C02702: nan; Km_C00002: 0.0890421569347381; Km_C00148: 0.1624995470046997; Km_C01649: 0.01414,Kcat_F: 1.194108566112944; Kcat_R: 0.9549211915855217
WP_001286879.1,6.1.1.5,,R70,Isoleucine-trna ligase,R03656,C00002; C00407; C01644,C00013; C00020; C03127,Km_C00013: 0.0392457321286201; Km_C00020: 0.0162654798477888; Km_C03127: nan; Km_C00002: 0.018193932250142; Km_C00407: 0.0458796434104442; Km_C01644: 0.0021,Kcat_F: 10.395218500816224; Kcat_R: 12.780535492428175
WP_000069410.1,2.7.9.2,,R71,"Pyruvate, water dikinase",R00199,C00001; C00002; C00022,C00009; C00020; C00074,Km_C00009: 1.4596771001815796; Km_C00020: 0.023508446291089; Km_C00074: 0.1417742222547531; Km_C00001: 0.2813887000083923; Km_C00002: 0.0217863135039806; Km_C00022: 0.083,Kcat_F: 4.470776205582627; Kcat_R: 4.215818079356546
WP_000099823.1,2.3.1.61,,R72,Dihydrolipoyllysine-residue succinyltransferase,R02570,C00091; C15973,C00010; C16254,Km_C00010: 0.0297414138913154; Km_C16254: 0.0144389551132917; Km_C00091: 0.0255207605659961; Km_C15973: 0.0113232648000121,Kcat_F: 1.3104044031829423; Kcat_R: 1.2367148332968607
WP_000099823.1,2.3.1.61,,R73,Dihydrolipoyllysine-residue succinyltransferase,R01933,C00003; C00010; C00322,C00004; C00011; C00080; C00527,Km_C00004: 0.0277845002710819; Km_C00011: 0.3288459181785583; Km_C00080: 0.2366880178451538; Km_C00527: 0.025667292997241; Km_C00003: 0.0543261542916297; Km_C00010: 0.0297414138913154; Km_C00322: 0.0830351635813713,Kcat_F: 0.9257893008285575; Kcat_R: 0.8828594496255183
WP_000099823.1,2.3.1.61,,R74,Dihydrolipoyllysine-residue succinyltransferase,R02571,C00527; C15973,C00010; C06157,Km_C00010: 0.0297414138913154; Km_C06157: nan; Km_C00527: 0.025667292997241; Km_C15973: 0.0113232648000121,Kcat_F: 1.2984611570886353; Kcat_R: 0.985192857778867
WP_000099823.1,2.3.1.61,,R75,Dihydrolipoyllysine-residue succinyltransferase,R08549,C00003; C00010; C00026,C00004; C00011; C00080; C00091,Km_C00004: 0.0277845002710819; Km_C00011: 0.3288459181785583; Km_C00080: 0.2366880178451538; Km_C00091: 0.0255207605659961; Km_C00003: 0.0543261542916297; Km_C00010: 0.0297414138913154; Km_C00026: 0.1725407987833023,Kcat_F: 0.9191576842196999; Kcat_R: 0.8908216136883896
WP_001265681.1,4.1.1.49,,R76,Phosphoenolpyruvate carboxykinase (atp),R00341,C00002; C00036,C00008; C00011; C00074,Km_C00008: 0.0872664451599121; Km_C00011: 5.647358417510986; Km_C00074: 2.1575; Km_C00002: 0.0615184865891933; Km_C00036: 0.67,Kcat_F: 5.8289208599038; Kcat_R: 4.168236640849556
WP_000919159.1,2.1.2.1,,R77,Glycine hydroxymethyltransferase,R00945,C00001; C00037; C00143,C00065; C00101,Km_C00065: 0.6804569363594055; Km_C00101: 0.0484347641468048; Km_C00001: 1.7438061237335205; Km_C00037: 1.0842102766036987; Km_C00143: 0.0312942266464233,Kcat_F: 0.7214119780769308; Kcat_R: 1.1328265274690457
WP_000919159.1,2.1.2.1,,R78,Glycine hydroxymethyltransferase,R09099,C00065; C01217,C00001; C00037; C04377,Km_C00001: 1.7438061237335205; Km_C00037: 1.0842102766036987; Km_C04377: 0.0325908549129962; Km_C00065: 0.6804569363594055; Km_C01217: 0.0292560122907161,Kcat_F: 0.918723922509542; Kcat_R: 0.7097989372378323
WP_000066639.1,4.2.1.2,,R79,Fumarate hydratase,R01082,C00149,C00001; C00122,Km_C00001: 6.656438827514648; Km_C00122: 0.9106087684631348; Km_C00149: 0.7054444444444444,Kcat_F: 1.0; Kcat_R: 2921.8849968548857
WP_000838261.1,5.2.1.8,,R80,Peptidylprolyl isomerase,R04273,C03798,C03633,Km_C03633: nan; Km_C03798: nan,Kcat_F: nan; Kcat_R: nan
WP_000672380.1,6.1.1.20,,R81,Phenylalanine-trna ligase,R03660,C00002; C00079; C01648,C00013; C00020; C03511,Km_C00013: 0.1102247014641761; Km_C00020: 0.0219499245285987; Km_C03511: nan; Km_C00002: 0.0277286227792501; Km_C00079: 0.0425577200949192; Km_C01648: 923.0,Kcat_F: 9.254705883861169; Kcat_R: 5.976316175995899
WP_000025458.1,6.2.1.5,,R82,Succinate-coa ligase (adp-forming),R00405,C00002; C00010; C00042,C00008; C00009; C00091,Km_C00008: 0.0459712520241737; Km_C00009: 1.4238581657409668; Km_C00091: 0.0468568578362464; Km_C00002: 0.0591078847646713; Km_C00010: 4.0; Km_C00042: 0.25,Kcat_F: 37.55658575365964; Kcat_R: 30.505424929207752
WP_000025458.1,6.2.1.5,,R83,Succinate-coa ligase (adp-forming),R02404,C00002; C00010; C00490,C00008; C00009; C00531,Km_C00008: 0.0459712520241737; Km_C00009: 1.4238581657409668; Km_C00531: 0.0494820177555084; Km_C00002: 0.0591078847646713; Km_C00010: 4.0; Km_C00490: 1.75,Kcat_F: 22.71325242032631; Kcat_R: 31.08043846908234
WP_000069437.1,4.3.1.1,,R84,Aspartate ammonia-lyase,R00490,C00049,C00014; C00122,Km_C00014: 12.203872680664062; Km_C00122: 0.8285583257675171; Km_C00049: 1.195170283317566,Kcat_F: 138.37368572760155; Kcat_R: 10064.760358993983
WP_001295373.1,2.8.1.7,,R85,Cysteine desulfurase,R07460,C00097; C15811,C00041; C15812,Km_C00041: 1.053504228591919; Km_C15812: 0.0105285206809639; Km_C00097: 0.0834577828645706; Km_C15811: 0.0175859052687883,Kcat_F: 30.00142618681445; Kcat_R: 36.793572793061315
